Time,RtoR
,483
,448
,373
,1310
,823
,8998
,235
,1723
,1300
,283
,10160
,257
,701
,118
,272
,352
,167
,414
,239
,962
,20
,680
,24757
,1
,16903
,6446
,4881
,6317
,198
,10336
,103
,265
