Time, Type, Data
18/09/2016 17:16:00.876,RX,02-22-58-70-E0-07-09-12-CE-57-B4-03-00-02-18-A0-80-02-0A-28-A0-80-02-0A-28-E0-80-02-0A-18-20-80-00-02-18-A0-80-04-16-68-A0-81-06-16-48-E0-80-01-02-F8-9F-7F-FE-F5-C7-DF-7E-FA-E5-97-5F-7E-F9-E5-A7-5F-7E-F9-E5-B7-DF-7F-03-22-D8-A0-83-0A-0E-B8-9F-7C-EC-A5-A7-DE-7B-F5-E9-C7-1F-92-03
18/09/2016 17:16:01.064,RX,02-20-35-1C-E0-07-09-12-AE-59-B4-03-5A-00-99-00-00-80-E8-FF-01-00-04-00-31-10-03-00-E0-06-F4-01-A0-FF-A6-FF-22-00-27-00-15-00-1F-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-84-03
18/09/2016 17:16:01.180,RX,02-22-58-71-E0-07-09-12-CA-58-B4-03-FB-D9-F7-5E-7A-E6-A1-E7-DE-7D-00-16-58-60-80-FB-D9-37-9F-7C-F2-C5-F7-DE-7A-E8-9D-77-1E-7A-EA-B1-F7-9E-7C-F6-ED-07-60-81-0A-3E-28-61-85-17-66-A8-E1-86-1B-6A-88-A1-85-13-46-F8-A0-83-0C-2E-A8-20-82-07-16-48-E0-80-02-06-18-60-80-00-02-08-20-D3-03-02-24-2D-2B-E0-07-09-12-36-56-B4-03-EC-FC-EC-FC-EC-FC-57-00-57-00-57-00-57-00-57-00-57-00-57-00-57-00-57-00-57-00-57-00-57-00-57-00-41-FD-41-FD-3F-03
18/09/2016 17:16:01.346,RX,02-22-58-72-E0-07-09-12-C6-59-B4-03-FF-FD-E7-DF-7F-00-02-18-60-80-02-0A-28-E0-80-04-1A-78-60-82-0A-36-F8-20-84-0F-32-78-A0-80-FD-E1-47-5F-7C-EF-BD-F7-5E-7C-F4-DD-A7-1F-7F-FD-F9-F7-1F-80-01-0A-48-60-81-08-2A-C8-60-83-0D-32-B8-A0-82-08-1E-68-20-81-03-0E-28-20-80-FE-F1-B7-1F-CF-03
18/09/2016 17:16:01.446,TX,02-23-00-00-03
18/09/2016 17:16:01.518,RX,02-21-20-9C-E0-07-09-12-BE-57-B4-03-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-4F-03
18/09/2016 17:16:01.635,RX,02-22-58-73-E0-07-09-12-C2-5A-B4-03-F9-E5-97-5F-7E-F9-E5-97-9F-7E-FA-ED-B7-DF-7E-FB-ED-B7-DF-7E-FB-E9-97-1F-7E-F8-E1-97-9F-7E-FA-ED-B7-DF-7E-FB-ED-A7-DF-7E-FC-F5-E7-9F-7F-FF-FD-E7-5F-7F-FC-E9-97-DF-7D-F7-D9-67-5F-7D-F5-D5-67-DF-7D-F8-E5-A7-DF-7E-FB-ED-A7-5F-7E-F9-ED-D7-1F-BD-03
18/09/2016 17:16:01.838,RX,02-22-58-74-E0-07-09-12-BE-5B-B4-03-01-1E-B8-60-83-0A-0A-88-5F-7B-E4-7D-E7-9D-78-E7-B1-F7-DE-7B-EC-9D-27-DE-77-E1-95-C7-9E-7C-F8-E9-97-9F-7D-F1-A9-57-5E-78-DE-6D-97-1D-76-D8-65-B7-DD-77-E5-AD-27-5F-7E-00-1A-C8-A0-84-17-72-08-A2-88-23-8E-18-A2-87-1B-62-68-E1-84-11-3E-C8-20-9A-03
18/09/2016 17:16:02.064,RX,02-20-35-1D-E0-07-09-12-97-5D-B4-03-59-00-98-00-00-80-E8-FF-02-00-03-00-31-10-03-00-E0-06-30-02-A0-FF-A6-FF-20-00-27-00-16-00-1C-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-06-03
18/09/2016 17:16:02.180,RX,02-22-58-75-E0-07-09-12-BA-5C-B4-03-0A-26-78-60-81-04-12-48-20-81-05-12-48-20-81-03-0A-28-A0-80-02-0A-18-20-80-FE-F1-B7-9F-7E-F9-E5-97-9F-7E-FB-F5-E7-9F-7F-FE-F5-D7-5F-7F-FC-ED-87-1F-7D-F0-B5-B7-9E-7A-E9-A9-C7-9E-7B-F1-C9-37-DF-7C-F3-CD-47-5F-7D-F7-E1-97-9F-7E-FA-E9-B7-1F-2B-03-02-24-2D-2C-E0-07-09-12-26-5A-B4-03-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-41-FD-DD-03-DD-03-DD-03-DD-03-DD-03-DD-03-12-03
18/09/2016 17:16:02.343,RX,02-22-58-76-E0-07-09-12-B7-5D-B4-03-FB-ED-C7-1F-7F-FC-F5-D7-1F-7F-FC-ED-A7-5F-7E-F9-E9-A7-DF-7E-FB-E9-A7-5F-7E-F8-E1-87-1F-7E-F8-E1-97-5F-7E-F8-E1-87-DF-7D-F7-DD-77-DF-7D-F6-D5-47-1F-7D-F4-D1-57-9F-7D-F7-E1-97-9F-7E-FB-ED-C7-5F-7F-FF-01-18-E0-80-04-16-48-20-81-03-0A-18-20-29-03
18/09/2016 17:16:02.458,TX,02-23-00-00-03
18/09/2016 17:16:02.543,RX,02-21-20-9D-E0-07-09-12-AE-5B-B4-03-00-FE-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-F9-E7-9F-7F-FE-F9-07-11-03
18/09/2016 17:16:02.660,RX,02-22-58-77-E0-07-09-12-B3-5E-B4-03-00-FE-E7-5F-7F-FB-E5-77-5F-7D-F4-CD-27-5F-7C-F0-B9-D7-9E-7A-E8-9D-77-5E-7A-ED-C9-77-5F-7E-F7-C5-87-5E-77-D5-41-E7-1C-74-D4-61-A7-9D-76-D7-4D-E7-1C-73-CE-4D-97-9D-77-E1-89-17-1E-78-DE-6D-97-DD-75-D6-55-67-9D-75-D7-5D-87-9D-76-DD-85-67-1E-F2-03
18/09/2016 17:16:02.845,RX,02-22-58-78-E0-07-09-12-AF-5F-B4-03-EC-C1-57-1F-7E-FB-F9-F7-1F-80-00-06-08-E0-7F-FE-F1-B7-9F-7E-F9-E5-87-DF-7D-F5-D1-27-5F-7C-EF-B9-D7-1E-7B-EB-A9-97-1E-7A-E6-99-57-9E-79-E6-9D-87-1E-7A-E8-9D-67-9E-79-E5-99-77-1E-7A-E9-A9-A7-9E-7A-E9-A5-97-5E-7A-E8-99-37-5E-78-DE-75-D7-1D-F3-03
18/09/2016 17:16:03.070,RX,02-20-35-1E-E0-07-09-12-7F-61-B4-03-59-00-98-00-00-80-E8-FF-01-00-04-00-31-10-03-00-E0-06-08-02-A0-FF-A5-FF-1E-00-25-00-15-00-1F-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-E4-03
