SeqNo, Year, Month, Day, ms, RtoR Data
,,,,,360
,,,,,360
,,,,,-82
,,,,,-82
,,,,,-82
,,,,,-82
,,,,,292
,,,,,292
,,,,,292
,,,,,292
,,,,,292
,,,,,-393
,,,,,-393
,,,,,-393
23,2016,09,18,62130033,-393
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,-192
,,,,,473
,,,,,473
,,,,,473
24,2016,09,18,62131035,473
,,,,,473
,,,,,473
,,,,,473
,,,,,473
,,,,,473
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,-435
,,,,,580
,,,,,580
,,,,,580
25,2016,09,18,62132047,580
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,-360
,,,,,511
,,,,,511
,,,,,511
,,,,,511
,,,,,-84
,,,,,-84
,,,,,-84
,,,,,-84
26,2016,09,18,62133052,-84
,,,,,359
,,,,,359
,,,,,359
,,,,,359
,,,,,359
,,,,,359
,,,,,359
,,,,,359
,,,,,359
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,-558
27,2016,09,18,62134067,-558
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,-558
,,,,,751
,,,,,751
,,,,,751
,,,,,751
,,,,,751
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,-44
28,2016,09,18,62135075,-44
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,-44
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
,,,,,866
29,2016,09,18,62136082,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,-773
,,,,,766
,,,,,766
,,,,,766
,,,,,766
30,2016,09,18,62137093,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
31,2016,09,18,62138101,766
,,,,,766
,,,,,766
,,,,,766
,,,,,766
,,,,,-1554
,,,,,-1554
,,,,,-1554
,,,,,-1554
,,,,,88
,,,,,88
,,,,,88
,,,,,88
,,,,,88
,,,,,88
,,,,,88
,,,,,88
,,,,,88
32,2016,09,18,62139108,88
,,,,,88
,,,,,88
,,,,,88
,,,,,88
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
,,,,,-679
33,2016,09,18,62140116,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,797
,,,,,-908
,,,,,-908
,,,,,-908
,,,,,-908
,,,,,-908
34,2016,09,18,62141125,90
,,,,,90
,,,,,90
,,,,,90
,,,,,90
,,,,,90
,,,,,90
,,,,,90
,,,,,90
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
35,2016,09,18,62142133,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,-658
,,,,,929
,,,,,929
,,,,,929
,,,,,929
,,,,,929
,,,,,929
,,,,,929
,,,,,929
,,,,,929
36,2016,09,18,62143141,929
,,,,,929
,,,,,929
,,,,,929
,,,,,-811
,,,,,-811
,,,,,-811
,,,,,-811
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
,,,,,168
37,2016,09,18,62144149,168
,,,,,168
,,,,,168
,,,,,168
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,-723
,,,,,900
38,2016,09,18,62145157,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,900
,,,,,-838
39,2016,09,18,62146165,-838
,,,,,-838
,,,,,-838
,,,,,-838
,,,,,-838
,,,,,-838
,,,,,-838
,,,,,-838
,,,,,451
,,,,,451
,,,,,451
,,,,,451
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
40,2016,09,18,62147173,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,-389
,,,,,886
,,,,,886
,,,,,886
,,,,,886
,,,,,886
,,,,,886
41,2016,09,18,62148181,886
,,,,,886
,,,,,886
,,,,,886
,,,,,886
,,,,,886
,,,,,886
,,,,,886
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
,,,,,-858
42,2016,09,18,62149190,-858
,,,,,-858
,,,,,-858
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,763
,,,,,-788
,,,,,-788
