SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,09,16,57927078,2,78,10.9,-3276.8,-34,0.08,0.21,3.853,42,20,65535,255,1.98,4.98,19,65535,0,65535,1,2,-0.92,-0.77,0.44,0.74,-0.02,0.12,26.3,528,254,3,12,-0.1,414,420,507,0
1,2016,09,16,57928079,2,78,10.9,-3276.8,-35,0.05,0.08,3.853,42,18,65535,255,1.98,4.3,17,65535,0,65535,1,3,-0.89,-0.77,0.55,0.65,0.01,0.13,26.3,528,254,4,12,-0.1,415,419,507,0
2,2016,09,16,57929079,2,78,9.8,-3276.8,-36,0.03,0.09,3.853,42,16,65535,255,1.98,3.46,15,65535,0,65535,1,4,-0.83,-0.78,0.59,0.66,0.01,0.13,26.3,528,254,-75,12,-0.1,415,420,507,0
3,2016,09,16,57930081,2,79,9.8,-3276.8,-37,0.02,0.04,3.853,42,14,65535,255,1.98,3,13,65535,0,65535,1,5,-0.83,-0.78,0.59,0.63,0.02,0.1,26.3,528,254,0,12,-0.1,415,420,507,0
4,2016,09,16,57931079,2,79,8.8,-3276.8,-37,0.02,0.04,3.853,42,12,65535,255,1.98,2.72,12,65535,0,65535,1,6,-0.83,-0.78,0.59,0.65,0.02,0.12,26.3,528,254,5,12,-0.1,415,420,507,0
5,2016,09,16,57932079,2,79,8.8,-3276.8,-37,0.01,0.04,3.853,42,11,65535,255,1.98,2.04,10,65535,0,65535,1,7,-0.84,-0.78,0.59,0.66,0.03,0.1,26.3,528,254,-75,12,-0.1,415,420,507,0
6,2016,09,16,57933079,2,79,7.9,-3276.8,-37,0.01,0.03,3.853,42,10,65535,255,1.98,1.42,9,65535,0,65535,1,8,-0.84,-0.78,0.59,0.65,0.04,0.12,26.3,528,254,-75,12,-0.1,415,419,507,0
7,2016,09,16,57934078,2,79,7.9,-3276.8,-37,0.01,0.03,3.852,42,9,65535,255,1.98,1.2,8,65535,0,65535,1,9,-0.83,-0.78,0.59,0.65,0.02,0.1,26.3,528,254,-75,12,-0.1,414,419,507,0
8,2016,09,16,57935079,2,79,7.2,-3276.8,-37,0.01,0.04,3.851,41,8,65535,255,1.98,1.08,7,65535,0,65535,1,10,-0.84,-0.78,0.55,0.66,0.03,0.1,26.3,528,254,-75,12,-0.1,415,420,507,0
9,2016,09,16,57936078,2,79,7.2,-3276.8,-37,0.01,0.03,3.851,41,7,65535,255,1.98,0.9,6,65535,0,65535,1,11,-0.83,-0.78,0.59,0.65,0.03,0.12,26.4,528,254,0,12,-0.1,416,418,489,0
10,2016,09,16,57937078,2,79,6.4,-3276.8,-37,0.01,0.03,3.851,41,7,65535,255,1.98,0.92,6,65535,0,65535,1,12,-0.81,-0.77,0.59,0.65,0.03,0.12,26.4,528,254,-75,12,-0.1,414,420,507,0
