Time,RtoR
,6638
,704
,699
,717
,702
,1394
,1495
,778
,771
,789
,805
,811
,772
,740
,745
,745
,762
,757
,741
,755
,760
,778
,743
,745
,762
,765
,749
,731
,755
,752
,743
,728
,743
,745
,756
,776
,774
,758
,715
,688
,690
,707
,701
,1275
,99
,1354
,415
,887
,667
,677
,705
,727
,715
,699
,680
,665
,653
,654
,675
,706
,727
,727
,707
,688
,689
,711
,721
,736
,754
,738
,727
,777
,782
,802
,771
,746
,751
,737
,744
,739
,725
,759
,755
,737
,740
,736
,2010
