Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,4.624294091152937,4.6,4.624294091152937,4.6
False,0.11247221067657977,98.0,102,0.0,0,4.624294091152937,4.6,4.624294091152937,4.6
False,0.41588417700238844,100,107,0.0,1,2.568304586039623,3.4,2.568304586039623,3.4
False,0.04520628996281634,98,90,0.0,1,2.568304586039623,3.4,2.568304586039623,3.4
False,0.056481246620800625,98,77,0.0,1,2.568304586039623,3.4,2.568304586039623,3.4
False,0.039330388671293535,98,71,0.0,1,2.568304586039623,3.4,2.568304586039623,3.4
False,0.08980773462983992,100,82,0.0,2,6.23,5.402899157268886,6.23,5.402899157268886
False,0.015826771729584126,100,73,0.0,2,6.23,5.402899157268886,6.23,5.402899157268886
False,0.027783844363250473,98,61,0.0,2,6.23,5.402899157268886,6.23,5.402899157268886
False,0.033267938795404746,95,49,0.0,2,6.23,5.402899157268886,6.23,5.402899157268886
False,0.0838367108523574,92,36,0.0,2,6.23,5.402899157268886,6.23,5.402899157268886
False,0.4799215448652774,82,72,0.0,4,4.4864747273928005,5.1,4.4864747273928005,5.1
False,0.1578961884297807,76,59,0.0,4,4.4864747273928005,5.1,4.4864747273928005,5.1
False,0.48087719430147646,70,51,0.0,4,4.4864747273928005,5.1,4.4864747273928005,5.1
False,0.24927337268358735,65,40,0.0,4,4.4864747273928005,5.1,4.4864747273928005,5.1
False,0.08390903511350006,49,27,0.0,4,4.4864747273928005,5.1,4.4864747273928005,5.1
