Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.16847838548982735,77.0,106,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.08619731121498773,60.0,96,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.16302453276218315,60.0,87,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.19626840995223377,59.0,76,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.19671435701454876,55.0,65,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.06465081822842109,36.0,54,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.41139820173611885,33.0,47,0.0,0,3.83135126477627,4.1,3.83135126477627,4.1
False,0.14323387294338386,39.0,90,0.0,1,4.0,2.8183014626320624,4.0,2.8183014626320624
False,0.0380164678246792,38.0,81,0.0,1,4.0,2.8183014626320624,4.0,2.8183014626320624
False,0.10160501664282298,47.0,96,0.0,2,3.3261943145236987,5.1,3.3261943145236987,5.1
False,0.1681793964972181,44.0,80,0.0,2,3.3261943145236987,5.1,3.3261943145236987,5.1
False,0.6395119347106835,41.0,84,0.0,3,6.042911372696145,4.6,6.042911372696145,4.6
False,0.19035701021787088,29.0,56,0.0,3,6.042911372696145,4.6,6.042911372696145,4.6
False,0.25100382837577895,28.0,48,0.0,3,6.042911372696145,4.6,6.042911372696145,4.6
False,0.13170375552915822,20.0,71,0.0,4,2.7549668033424273,5.1,2.7549668033424273,5.1
False,0.08911040532997301,15.0,39,0.0,4,2.7549668033424273,5.1,2.7549668033424273,5.1
False,0.16400018485425927,15.0,29,0.0,4,2.7549668033424273,5.1,2.7549668033424273,5.1
False,0.1568546253455174,12.0,19,0.0,4,2.7549668033424273,5.1,2.7549668033424273,5.1
