clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0,0.0053987396,1.00135803223E-05,-0.6044302,2016_09_16-20_10_56
2,2.3435666551,6.5763959885,-0.4260792,2016_09_16-20_11_8
2,0.9985707446,5.802063942,-0.4803626,2016_09_16-20_11_18
2,1.9240530984,5.1141932011,-0.5061176,2016_09_16-20_11_25
3,1.8196199225,5.1301958561,-0.5091076,2016_09_16-20_11_34
2,1.3211697876,2.7497780323,-0.490006,2016_09_16-20_11_41
1,0.6400926841,5.1832940579,-0.5158439,2016_09_16-20_12_0
2,2.0783056788,8.6101419926,-0.5940121,2016_09_16-20_12_12
3,1.7409278039,6.9853608608,-0.4217013,2016_09_16-20_12_25
2,1.4269395177,2.0154168606,-0.4719344,2016_09_16-20_12_34
2,1.2166881291,5.6178891659,-0.5017985,2016_09_16-20_12_47
1,0.0504753603,4.0523250103,-0.5139412,2016_09_16-20_12_54
3,2.7758398062,11.1133561134,-0.5619508,2016_09_16-20_13_19
2,0.9149609018,7.1103639603,-0.460423,2016_09_16-20_13_30
2,1.5231989698,1.7636530399,-0.4757813,2016_09_16-20_13_38
2,1.0057282325,3.5149388313,-0.5199184,2016_09_16-20_13_45
2,1.066712997,4.3920531273,-0.5005283,2016_09_16-20_13_53
2,1.7131745637,3.6545519829,-0.4843066,2016_09_16-20_14_1
2,0.1736975676,3.5571889877,-0.5179126,2016_09_16-20_14_9
3,2.5947956775,8.833573103,-0.5772412,2016_09_16-20_14_32
2,1.299209213,4.147236824,-0.5038023,2016_09_16-20_14_41
1,0.5962324718,5.0824379921,-0.5158439,2016_09_16-20_14_51
3,1.317003392,4.7345690727,-0.5171367,2016_09_16-20_14_59
1,0.2275713765,3.0162930489,-0.5004347,2016_09_16-20_15_7
3,1.8669552421,6.93323493,-0.3993816,2016_09_16-20_15_25
2,1.3739020428,2.5103900433,-0.4944406,2016_09_16-20_15_32
2,1.1770448082,6.1911690235,-0.4662436,2016_09_16-20_15_42
2,0.933305444,4.3573811054,-0.5065756,2016_09_16-20_15_52
2,0.8684085441,3.5807681084,-0.5135171,2016_09_16-20_16_2
3,1.6054420085,5.1989748478,-0.5176542,2016_09_16-20_16_28
0,0.0499638563,0.7058160305,-0.5984115,2016_09_16-20_16_48
