Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.09531912714890314,93.0,100,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.0798946888491926,91.0,94,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.046807997275326814,78.0,85,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.10637182758079973,76.0,77,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.03142704480153637,59.0,67,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.03696284926075681,59.0,58,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.0770602337767488,57.0,48,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.4605633287694963,53.0,26,0.0,0,5.73,5.429551913640076,5.73,5.429551913640076
False,0.052974708146049446,63.0,98,0.0,1,4.957923963822879,4.6,4.957923963822879,4.6
False,0.291152579021219,63.0,89,0.0,1,4.957923963822879,4.6,4.957923963822879,4.6
False,0.08713319534982548,72.0,87,0.0,2,4.0,2.8862578631689337,4.0,2.8862578631689337
False,0.03196777920198088,72.0,75,0.0,2,4.0,2.8862578631689337,4.0,2.8862578631689337
False,0.07100056746941939,72.0,47,0.0,2,4.0,2.8862578631689337,4.0,2.8862578631689337
False,0.22257166356375777,81.0,83,0.0,3,3.255,3.20995606383985,3.255,3.20995606383985
False,0.25488459148822507,80.0,73,0.0,3,3.255,3.20995606383985,3.255,3.20995606383985
False,0.13264397702104835,67.0,66,0.0,3,3.255,3.20995606383985,3.255,3.20995606383985
False,0.13082236101685799,66.0,60,0.0,3,3.255,3.20995606383985,3.255,3.20995606383985
False,0.006173338586861721,76.0,61,0.0,4,2.1,3.8265331898846364,2.1,3.8265331898846364
