SeqNo, Year, Month, Day, ms, ECG Data
,,,,,572
,,,,,574
,,,,,577
,,,,,581
,,,,,584
,,,,,588
,,,,,593
,,,,,599
,,,,,604
,,,,,610
,,,,,615
,,,,,619
,,,,,623
,,,,,624
,,,,,626
,,,,,627
,,,,,628
,,,,,628
,,,,,629
,,,,,630
,,,,,630
,,,,,630
,,,,,630
,,,,,630
,,,,,629
,,,,,627
,,,,,626
,,,,,626
,,,,,628
,,,,,629
,,,,,631
,,,,,633
,,,,,635
,,,,,635
,,,,,635
,,,,,636
,,,,,638
,,,,,639
,,,,,641
,,,,,643
,,,,,644
,,,,,646
,,,,,646
,,,,,647
,,,,,647
,,,,,647
,,,,,647
,,,,,647
,,,,,649
,,,,,649
,,,,,649
,,,,,647
,,,,,644
,,,,,640
,,,,,636
,,,,,632
,,,,,629
,,,,,626
,,,,,623
,,,,,619
8,2016,09,17,47880391,617
,,,,,616
,,,,,617
,,,,,620
,,,,,624
,,,,,629
,,,,,634
,,,,,640
,,,,,646
,,,,,652
,,,,,657
,,,,,662
,,,,,666
,,,,,669
,,,,,671
,,,,,673
,,,,,675
,,,,,678
,,,,,682
,,,,,686
,,,,,690
,,,,,695
,,,,,700
,,,,,704
,,,,,706
,,,,,708
,,,,,710
,,,,,712
,,,,,713
,,,,,714
,,,,,716
,,,,,716
,,,,,716
,,,,,715
,,,,,714
,,,,,713
,,,,,711
,,,,,711
,,,,,711
,,,,,712
,,,,,711
,,,,,711
,,,,,710
,,,,,708
,,,,,706
,,,,,705
,,,,,704
,,,,,705
,,,,,705
,,,,,706
,,,,,707
,,,,,708
,,,,,709
,,,,,709
,,,,,710
,,,,,711
,,,,,712
,,,,,713
,,,,,714
,,,,,716
,,,,,717
,,,,,717
,,,,,717
9,2016,09,17,47880643,716
,,,,,715
,,,,,713
,,,,,711
,,,,,710
,,,,,710
,,,,,709
,,,,,708
,,,,,707
,,,,,705
,,,,,702
,,,,,698
,,,,,696
,,,,,694
,,,,,692
,,,,,691
,,,,,690
,,,,,690
,,,,,689
,,,,,688
,,,,,686
,,,,,685
,,,,,683
,,,,,682
,,,,,682
,,,,,683
,,,,,684
,,,,,685
,,,,,685
,,,,,686
,,,,,687
,,,,,688
,,,,,688
,,,,,690
,,,,,692
,,,,,694
,,,,,696
,,,,,698
,,,,,701
,,,,,702
,,,,,703
,,,,,703
,,,,,704
,,,,,704
,,,,,705
,,,,,708
,,,,,710
,,,,,714
,,,,,717
,,,,,720
,,,,,724
,,,,,727
,,,,,730
,,,,,733
,,,,,737
,,,,,741
,,,,,744
,,,,,748
,,,,,751
,,,,,755
,,,,,758
,,,,,761
,,,,,765
10,2016,09,17,47880895,769
,,,,,774
,,,,,778
,,,,,783
,,,,,788
,,,,,792
,,,,,796
,,,,,799
,,,,,801
,,,,,804
,,,,,805
,,,,,808
,,,,,811
,,,,,814
,,,,,817
,,,,,820
,,,,,822
,,,,,825
,,,,,826
,,,,,828
,,,,,829
,,,,,830
,,,,,831
,,,,,832
,,,,,834
,,,,,835
,,,,,836
,,,,,837
,,,,,838
,,,,,839
,,,,,840
,,,,,842
,,,,,844
,,,,,846
,,,,,848
,,,,,849
,,,,,850
,,,,,850
,,,,,851
,,,,,851
,,,,,852
,,,,,854
,,,,,856
,,,,,858
,,,,,859
,,,,,861
,,,,,862
,,,,,861
,,,,,861
,,,,,860
,,,,,859
,,,,,858
,,,,,858
,,,,,857
,,,,,857
,,,,,856
,,,,,854
,,,,,853
,,,,,851
,,,,,849
,,,,,846
,,,,,845
,,,,,844
11,2016,09,17,47881148,842
,,,,,840
,,,,,837
,,,,,833
,,,,,830
,,,,,827
,,,,,824
,,,,,822
,,,,,821
,,,,,820
,,,,,819
,,,,,818
,,,,,817
,,,,,815
,,,,,812
,,,,,810
,,,,,808
,,,,,806
,,,,,804
,,,,,802
