SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,09,17,47879081,2,34,6.8,-3276.8,-10,0.06,0.12,3.89,48,8,65535,255,3.22,0.94,32,65535,100,65535,3,11,-1,-0.95,0.04,0.19,0.13,0.18,23,512,254,-75,12,37.1,415,422,508,0
1,2016,09,17,47880083,2,34,6.8,-3276.8,-10,0.03,0.09,3.89,48,8,65535,255,3.22,1,28,65535,100,65535,3,12,-1,-0.97,0.12,0.19,0.13,0.18,23,512,254,-75,12,37.1,414,422,507,0
2,2016,09,17,47881084,2,34,6.7,-3276.8,-11,0.02,0.13,3.888,48,7,65535,255,3.22,0.88,25,65535,100,65535,3,13,-1,-0.96,0.09,0.18,0.14,0.36,23.1,512,254,0,12,37.1,415,422,507,0
3,2016,09,17,47882084,2,34,6.7,-3276.8,-11,0.01,0.04,3.886,47,7,65535,255,3.22,0.88,22,65535,100,65535,3,14,-1,-0.96,0.08,0.18,0.13,0.18,23.1,512,254,-75,12,37.1,415,422,494,0
4,2016,09,17,47883083,2,34,6.9,-3276.8,-12,0.01,0.03,3.885,47,6,65535,255,2.98,0.86,19,65535,0,65535,3,15,-1.01,-0.96,0.09,0.18,0.13,0.18,23.1,528,254,-75,12,37.1,416,422,507,0
5,2016,09,17,47884081,2,34,6.9,-3276.8,-11,0.01,0.06,3.885,47,6,65535,255,2.98,0.74,17,65535,0,65535,3,16,-1,-0.96,0.07,0.16,0.13,0.19,23.1,528,254,-75,12,37.1,422,426,515,0
6,2016,09,17,47885083,2,34,7.1,-3276.8,-11,0.01,0.03,3.885,47,5,65535,255,2.9,0.82,15,65535,0,65535,3,17,-1,-0.96,0.09,0.16,0.13,0.18,23.1,528,254,-75,12,37.1,415,423,508,0
7,2016,09,17,47886084,2,34,7.1,-3276.8,-12,0.01,0.04,3.885,47,5,65535,255,2.9,0.8,13,65535,0,65535,3,18,-1,-0.96,0.07,0.18,0.13,0.18,23.1,528,254,0,12,37.1,416,422,507,0
8,2016,09,17,47887083,2,34,7.6,-3276.8,-12,0.01,0.03,3.885,47,5,65535,255,2.14,0.86,12,65535,0,65535,3,19,-1.01,-0.97,0.08,0.15,0.14,0.19,23.1,528,254,-75,12,37.1,415,422,507,0
9,2016,09,17,47888084,2,34,7.6,-3276.8,-12,0.01,0.04,3.885,47,5,65535,255,2.14,1.38,10,65535,0,65535,3,20,-1.01,-0.97,0.07,0.18,0.14,0.18,23.1,528,254,-75,12,37.1,414,421,508,0
