SeqNo, Year, Month, Day, ms, ECG Data
0,2016,09,16,54749764,416
,,,,,416
,,,,,418
,,,,,420
,,,,,423
,,,,,426
,,,,,428
,,,,,430
,,,,,432
,,,,,434
,,,,,435
,,,,,438
,,,,,440
,,,,,443
,,,,,447
,,,,,450
,,,,,454
,,,,,458
,,,,,461
,,,,,463
,,,,,464
,,,,,466
,,,,,468
,,,,,470
,,,,,473
,,,,,475
,,,,,476
,,,,,477
,,,,,477
,,,,,477
,,,,,476
,,,,,475
,,,,,474
,,,,,473
,,,,,472
,,,,,470
,,,,,466
,,,,,463
,,,,,458
,,,,,454
,,,,,451
,,,,,449
,,,,,448
,,,,,448
,,,,,448
,,,,,447
,,,,,446
,,,,,444
,,,,,442
,,,,,440
,,,,,440
,,,,,440
,,,,,441
,,,,,444
,,,,,447
,,,,,450
,,,,,453
,,,,,455
,,,,,455
,,,,,455
,,,,,454
,,,,,453
,,,,,453
1,2016,09,16,54750016,453
,,,,,454
,,,,,456
,,,,,459
,,,,,463
,,,,,466
,,,,,468
,,,,,468
,,,,,466
,,,,,463
,,,,,461
,,,,,462
,,,,,468
,,,,,477
,,,,,488
,,,,,501
,,,,,513
,,,,,524
,,,,,533
,,,,,539
,,,,,541
,,,,,541
,,,,,539
,,,,,536
,,,,,534
,,,,,533
,,,,,535
,,,,,538
,,,,,544
,,,,,551
,,,,,559
,,,,,567
,,,,,573
,,,,,576
,,,,,575
,,,,,573
,,,,,570
,,,,,567
,,,,,566
,,,,,567
,,,,,570
,,,,,574
,,,,,576
,,,,,578
,,,,,579
,,,,,579
,,,,,577
,,,,,574
,,,,,570
,,,,,566
,,,,,561
,,,,,556
,,,,,550
,,,,,543
,,,,,537
,,,,,530
,,,,,523
,,,,,517
,,,,,513
,,,,,509
,,,,,508
,,,,,507
,,,,,508
2,2016,09,16,54750268,510
,,,,,512
,,,,,514
,,,,,516
,,,,,519
,,,,,522
,,,,,527
,,,,,532
,,,,,538
,,,,,544
,,,,,549
,,,,,553
,,,,,557
,,,,,561
,,,,,565
,,,,,569
,,,,,573
,,,,,577
,,,,,580
,,,,,582
,,,,,582
,,,,,581
,,,,,578
,,,,,574
,,,,,569
,,,,,565
,,,,,561
,,,,,559
,,,,,557
,,,,,556
,,,,,554
,,,,,551
,,,,,548
,,,,,545
,,,,,543
,,,,,543
,,,,,544
,,,,,547
,,,,,551
,,,,,556
,,,,,561
,,,,,565
,,,,,567
,,,,,567
,,,,,565
,,,,,561
,,,,,558
,,,,,554
,,,,,552
,,,,,549
,,,,,547
,,,,,544
,,,,,542
,,,,,539
,,,,,536
,,,,,532
,,,,,529
,,,,,527
,,,,,525
,,,,,524
,,,,,523
,,,,,522
,,,,,521
3,2016,09,16,54750520,519
,,,,,516
,,,,,514
,,,,,513
,,,,,513
,,,,,513
,,,,,513
,,,,,513
,,,,,512
,,,,,511
,,,,,509
,,,,,507
,,,,,506
,,,,,506
,,,,,507
,,,,,509
,,,,,512
,,,,,514
,,,,,515
,,,,,516
,,,,,515
,,,,,513
,,,,,511
,,,,,509
,,,,,509
,,,,,509
,,,,,511
,,,,,512
,,,,,514
,,,,,516
,,,,,519
,,,,,523
,,,,,529
,,,,,535
,,,,,543
,,,,,551
,,,,,559
,,,,,566
,,,,,573
,,,,,581
,,,,,589
,,,,,596
,,,,,602
,,,,,608
,,,,,615
,,,,,621
,,,,,628
,,,,,634
,,,,,640
,,,,,646
,,,,,654
,,,,,664
,,,,,676
,,,,,691
,,,,,707
,,,,,722
,,,,,735
,,,,,747
,,,,,756
,,,,,763
,,,,,768
,,,,,772
,,,,,774
4,2016,09,16,54750772,775
,,,,,774
,,,,,772
,,,,,767
,,,,,761
,,,,,753
,,,,,745
,,,,,735
,,,,,726
,,,,,717
,,,,,709
,,,,,703
,,,,,696
,,,,,690
,,,,,683
,,,,,675
,,,,,665
,,,,,654
,,,,,644
,,,,,634
,,,,,627
,,,,,620
,,,,,613
,,,,,605
,,,,,592
,,,,,578
,,,,,564
,,,,,552
,,,,,543
,,,,,538
,,,,,536
,,,,,537
,,,,,539
,,,,,540
,,,,,539
,,,,,534
,,,,,528
,,,,,523
,,,,,519
,,,,,521
,,,,,527
,,,,,537
,,,,,551
,,,,,566
,,,,,582
,,,,,596
,,,,,608
,,,,,616
,,,,,618
,,,,,617
,,,,,612
,,,,,605
,,,,,598
,,,,,589
,,,,,580
,,,,,571
,,,,,563
,,,,,556
,,,,,549
,,,,,543
,,,,,538
,,,,,534
,,,,,530
5,2016,09,16,54751025,527
,,,,,523
,,,,,520
,,,,,515
,,,,,511
,,,,,506
,,,,,502
,,,,,498
,,,,,495
,,,,,492
,,,,,488
,,,,,483
,,,,,476
,,,,,468
,,,,,459
,,,,,449
,,,,,439
,,,,,430
,,,,,423
,,,,,417
,,,,,413
,,,,,411
,,,,,411
,,,,,411
,,,,,414
,,,,,417
,,,,,423
,,,,,430
,,,,,438
,,,,,447
,,,,,455
,,,,,461
,,,,,466
,,,,,468
,,,,,467
,,,,,464
,,,,,457
,,,,,449
,,,,,440
,,,,,431
,,,,,421
,,,,,412
,,,,,406
,,,,,402
,,,,,402
,,,,,405
,,,,,411
,,,,,419
,,,,,427
,,,,,435
,,,,,443
,,,,,449
,,,,,455
,,,,,459
,,,,,462
,,,,,463
,,,,,464
,,,,,463
,,,,,463
,,,,,461
,,,,,459
,,,,,456
,,,,,452
6,2016,09,16,54751277,447
,,,,,442
,,,,,436
,,,,,430
,,,,,425
,,,,,419
,,,,,415
,,,,,413
,,,,,414
,,,,,419
,,,,,427
,,,,,436
,,,,,447
,,,,,457
,,,,,468
,,,,,477
,,,,,485
,,,,,489
,,,,,490
,,,,,486
,,,,,479
,,,,,468
,,,,,457
,,,,,446
,,,,,437
,,,,,429
,,,,,423
,,,,,417
,,,,,412
,,,,,408
,,,,,404
,,,,,401
,,,,,399
,,,,,397
,,,,,396
,,,,,395
,,,,,392
,,,,,389
,,,,,384
,,,,,378
,,,,,374
,,,,,370
,,,,,367
,,,,,363
,,,,,359
,,,,,355
,,,,,351
,,,,,348
,,,,,347
,,,,,347
,,,,,348
,,,,,347
,,,,,343
,,,,,335
,,,,,326
,,,,,317
,,,,,311
,,,,,309
,,,,,309
,,,,,310
,,,,,310
,,,,,307
,,,,,302
7,2016,09,16,54751529,297
,,,,,293
,,,,,291
,,,,,292
,,,,,294
,,,,,296
,,,,,296
,,,,,296
,,,,,294
,,,,,292
,,,,,289
,,,,,287
,,,,,286
,,,,,285
,,,,,286
,,,,,289
,,,,,294
,,,,,301
,,,,,309
,,,,,318
,,,,,327
,,,,,336
,,,,,347
,,,,,357
,,,,,367
,,,,,376
,,,,,381
,,,,,385
,,,,,387
,,,,,388
,,,,,385
,,,,,377
,,,,,366
,,,,,352
,,,,,340
,,,,,332
,,,,,330
,,,,,334
,,,,,346
,,,,,367
,,,,,398
,,,,,438
,,,,,483
,,,,,526
,,,,,565
,,,,,598
,,,,,626
,,,,,650
,,,,,672
,,,,,693
,,,,,713
,,,,,733
,,,,,752
,,,,,772
,,,,,792
,,,,,807
,,,,,814
,,,,,809
,,,,,794
,,,,,772
,,,,,749
,,,,,728
,,,,,713
8,2016,09,16,54751781,704
,,,,,700
,,,,,701
,,,,,705
,,,,,711
,,,,,717
,,,,,722
,,,,,727
,,,,,734
,,,,,740
,,,,,747
,,,,,751
,,,,,754
,,,,,755
,,,,,755
,,,,,754
,,,,,750
,,,,,741
,,,,,725
,,,,,704
,,,,,679
,,,,,654
,,,,,631
,,,,,611
,,,,,594
,,,,,579
,,,,,567
,,,,,557
,,,,,551
,,,,,551
,,,,,554
,,,,,560
,,,,,566
,,,,,571
,,,,,574
,,,,,573
,,,,,568
,,,,,559
,,,,,546
,,,,,530
,,,,,513
,,,,,497
,,,,,483
,,,,,470
,,,,,460
,,,,,451
,,,,,443
,,,,,438
,,,,,435
,,,,,433
,,,,,433
,,,,,432
,,,,,429
,,,,,424
,,,,,417
,,,,,408
,,,,,400
,,,,,394
,,,,,390
,,,,,388
,,,,,388
,,,,,392
,,,,,399
9,2016,09,16,54752032,410
,,,,,422
,,,,,436
,,,,,448
,,,,,457
,,,,,463
,,,,,465
,,,,,463
,,,,,455
,,,,,444
,,,,,429
,,,,,416
,,,,,404
,,,,,395
,,,,,389
,,,,,385
,,,,,383
,,,,,383
,,,,,387
,,,,,397
,,,,,414
,,,,,436
,,,,,461
,,,,,485
,,,,,505
,,,,,520
,,,,,532
,,,,,540
,,,,,546
,,,,,548
,,,,,546
,,,,,541
,,,,,535
,,,,,527
,,,,,520
,,,,,512
,,,,,505
,,,,,496
,,,,,486
,,,,,475
,,,,,461
,,,,,447
,,,,,428
,,,,,405
,,,,,373
,,,,,332
,,,,,279
,,,,,220
,,,,,161
,,,,,111
,,,,,74
,,,,,53
,,,,,48
,,,,,56
,,,,,79
,,,,,113
,,,,,156
,,,,,206
,,,,,257
,,,,,305
,,,,,346
,,,,,378
,,,,,398
10,2016,09,16,54752284,401
,,,,,390
,,,,,368
,,,,,342
,,,,,318
,,,,,300
,,,,,293
,,,,,300
,,,,,320
,,,,,354
,,,,,397
,,,,,447
,,,,,499
,,,,,550
,,,,,599
,,,,,643
,,,,,680
,,,,,711
,,,,,731
,,,,,741
,,,,,739
,,,,,725
,,,,,703
,,,,,677
,,,,,653
,,,,,637
,,,,,632
,,,,,641
,,,,,662
,,,,,691
,,,,,726
,,,,,761
,,,,,792
,,,,,819
,,,,,841
,,,,,861
,,,,,879
,,,,,895
,,,,,909
,,,,,918
,,,,,924
,,,,,923
,,,,,913
,,,,,892
,,,,,859
,,,,,818
,,,,,777
,,,,,745
,,,,,723
,,,,,711
,,,,,702
,,,,,694
,,,,,685
,,,,,677
,,,,,668
,,,,,660
,,,,,650
,,,,,640
,,,,,632
,,,,,631
,,,,,635
,,,,,643
,,,,,648
11,2016,09,16,54752536,649
,,,,,645
,,,,,641
,,,,,639
,,,,,641
,,,,,646
,,,,,651
,,,,,653
,,,,,653
,,,,,653
,,,,,654
,,,,,656
,,,,,658
,,,,,661
,,,,,662
,,,,,662
,,,,,657
,,,,,649
,,,,,635
,,,,,618
,,,,,599
,,,,,581
,,,,,567
,,,,,555
,,,,,543
,,,,,526
,,,,,503
,,,,,475
,,,,,444
,,,,,415
,,,,,390
,,,,,371
,,,,,353
,,,,,337
,,,,,321
,,,,,307
,,,,,296
,,,,,289
,,,,,288
,,,,,292
,,,,,302
,,,,,315
,,,,,333
,,,,,354
,,,,,375
,,,,,394
,,,,,410
,,,,,423
,,,,,436
,,,,,450
,,,,,466
,,,,,483
,,,,,497
,,,,,507
,,,,,512
,,,,,514
,,,,,517
,,,,,524
,,,,,535
,,,,,548
,,,,,562
,,,,,571
,,,,,571
12,2016,09,16,54752788,559
,,,,,535
,,,,,506
,,,,,476
,,,,,453
,,,,,441
,,,,,438
,,,,,439
,,,,,440
,,,,,438
,,,,,433
,,,,,427
,,,,,422
,,,,,420
,,,,,423
,,,,,429
,,,,,439
,,,,,450
,,,,,463
,,,,,475
,,,,,486
,,,,,495
,,,,,502
,,,,,506
,,,,,508
,,,,,509
,,,,,511
,,,,,512
,,,,,513
,,,,,513
,,,,,510
,,,,,504
,,,,,495
,,,,,482
,,,,,469
,,,,,455
,,,,,443
,,,,,434
,,,,,428
,,,,,425
,,,,,424
,,,,,424
,,,,,425
,,,,,428
,,,,,433
,,,,,439
,,,,,447
,,,,,457
,,,,,469
,,,,,482
,,,,,495
,,,,,509
,,,,,522
,,,,,535
,,,,,546
,,,,,555
,,,,,561
,,,,,564
,,,,,563
,,,,,557
,,,,,548
,,,,,538
,,,,,526
13,2016,09,16,54753042,516
,,,,,506
,,,,,496
,,,,,485
,,,,,474
,,,,,463
,,,,,455
,,,,,450
,,,,,448
,,,,,448
,,,,,450
,,,,,455
,,,,,461
,,,,,468
,,,,,474
,,,,,477
,,,,,475
,,,,,469
,,,,,460
,,,,,450
,,,,,444
,,,,,444
,,,,,452
,,,,,465
,,,,,482
,,,,,498
,,,,,509
,,,,,513
,,,,,514
,,,,,512
,,,,,512
,,,,,515
,,,,,520
,,,,,525
,,,,,527
,,,,,526
,,,,,521
,,,,,512
,,,,,501
,,,,,488
,,,,,474
,,,,,461
,,,,,450
,,,,,442
,,,,,436
,,,,,431
,,,,,426
,,,,,421
,,,,,414
,,,,,406
,,,,,397
,,,,,389
,,,,,382
,,,,,377
,,,,,374
,,,,,372
,,,,,372
,,,,,371
,,,,,370
,,,,,369
,,,,,367
,,,,,365
,,,,,365
14,2016,09,16,54753294,368
,,,,,375
,,,,,386
,,,,,397
,,,,,404
,,,,,407
,,,,,403
,,,,,396
,,,,,388
,,,,,382
,,,,,377
,,,,,374
,,,,,372
,,,,,369
,,,,,367
,,,,,364
,,,,,361
,,,,,357
,,,,,352
,,,,,350
,,,,,354
,,,,,364
,,,,,380
,,,,,398
,,,,,417
,,,,,431
,,,,,440
,,,,,445
,,,,,447
,,,,,449
,,,,,453
,,,,,457
,,,,,461
,,,,,463
,,,,,463
,,,,,460
,,,,,454
,,,,,444
,,,,,432
,,,,,420
,,,,,408
,,,,,398
,,,,,391
,,,,,386
,,,,,382
,,,,,380
,,,,,379
,,,,,377
,,,,,376
,,,,,376
,,,,,379
,,,,,384
,,,,,391
,,,,,400
,,,,,409
,,,,,418
,,,,,425
,,,,,433
,,,,,440
,,,,,449
,,,,,459
,,,,,468
,,,,,477
15,2016,09,16,54753546,483
,,,,,486
,,,,,484
,,,,,480
,,,,,473
,,,,,466
,,,,,460
,,,,,457
,,,,,458
,,,,,462
,,,,,467
,,,,,472
,,,,,477
,,,,,481
,,,,,485
,,,,,488
,,,,,492
,,,,,495
,,,,,497
,,,,,497
,,,,,494
,,,,,489
,,,,,480
,,,,,470
,,,,,459
,,,,,448
,,,,,438
,,,,,430
,,,,,424
,,,,,420
,,,,,417
,,,,,416
,,,,,415
,,,,,415
,,,,,415
,,,,,416
,,,,,417
,,,,,420
,,,,,423
,,,,,424
,,,,,424
,,,,,424
,,,,,423
,,,,,423
,,,,,423
,,,,,424
,,,,,425
,,,,,423
,,,,,421
,,,,,417
,,,,,414
,,,,,411
,,,,,412
,,,,,415
,,,,,422
,,,,,431
,,,,,442
,,,,,452
,,,,,462
,,,,,469
,,,,,474
,,,,,476
,,,,,479
16,2016,09,16,54753798,483
,,,,,489
,,,,,501
,,,,,518
,,,,,540
,,,,,564
,,,,,587
,,,,,606
,,,,,619
,,,,,626
,,,,,628
,,,,,628
,,,,,627
,,,,,625
,,,,,621
,,,,,617
,,,,,610
,,,,,604
,,,,,597
,,,,,591
,,,,,586
,,,,,582
,,,,,579
,,,,,577
,,,,,576
,,,,,575
,,,,,573
,,,,,570
,,,,,566
,,,,,561
,,,,,556
,,,,,550
,,,,,545
,,,,,540
,,,,,535
,,,,,528
,,,,,519
,,,,,509
,,,,,497
,,,,,485
,,,,,474
,,,,,463
,,,,,453
,,,,,446
,,,,,443
,,,,,449
,,,,,463
,,,,,481
,,,,,497
,,,,,504
