clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0,0.3244288622,2.88486480713E-05,-0.6044302,2016_09_16-20_33_35
4,4.4453317975,16.9067630768,-0.4836822,2016_09_16-20_33_56
5,2.2981792216,10.8274109364,-0.5359619,2016_09_16-20_34_11
5,2.0942742344,15.9942908287,-0.5879188,2016_09_16-20_34_32
5,3.8594372015,13.6545729637,-0.461143,2016_09_16-20_34_59
6,2.6103462708,5.9301190376,-0.3801579,2016_09_16-20_35_24
13,10.5146653192,36.9595561028,-0.4097495,2016_09_16-20_36_19
5,4.4503264245,10.4903781414,-0.4867668,2016_09_16-20_36_44
4,2.9666044913,12.737555027,-0.5613205,2016_09_16-20_36_59
3,2.5994577147,54.7159309387,-0.6185809,2016_09_16-20_38_18
