clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0,0.3409969959,0.000015974,-0.6044302,2016_09_16-20_33_35
4,4.4050061394,11.7001230717,-0.4408731,2016_09_16-20_33_55
4,1.9517241116,7.3020119667,-0.6174523,2016_09_16-20_34_8
4,1.9393393625,9.5545840263,-0.6254491,2016_09_16-20_34_29
2,0.8617547776,5.4546639919,-0.5421742,2016_09_16-20_34_36
5,3.4669513452,16.8439719677,-0.6190596,2016_09_16-20_34_57
6,2.3430076207,20.3686621189,-0.5718418,2016_09_16-20_35_23
4,4.2218512462,17.8223080635,-0.4758707,2016_09_16-20_35_44
10,7.2847335413,35.8109679222,-0.3756869,2016_09_16-20_36_25
11,8.1147662246,23.9623448849,-0.4014899,2016_09_16-20_37_34
