SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,08,23,66185081,2,43,8.9,-3276.8,-11,0.01,0.04,4.033,72,32,65535,255,13.7,6.32,11,65535,0,65535,1,2,-1,-0.97,0.16,0.22,0.02,0.09,24.1,528,254,9,12,37.2,415,422,508,0
1,2016,08,23,66186082,2,44,9,-3276.8,-11,0.01,0.03,4.033,72,28,65535,255,13.7,5.96,9,65535,0,65535,1,3,-1,-0.96,0.18,0.21,0.02,0.1,24.1,528,254,-75,12,37.2,415,421,508,0
2,2016,08,23,66187081,2,45,9,-3276.8,-11,0.01,0.03,4.033,72,24,65535,255,13.7,5.76,8,65535,0,65535,1,4,-1,-0.96,0.18,0.22,0.02,0.1,24.1,528,254,2,12,37.2,415,422,507,0
3,2016,08,23,66188081,2,46,9.1,-3276.8,-11,0.01,0.03,4.033,72,22,65535,255,13.7,6.56,8,65535,0,65535,1,5,-0.98,-0.96,0.16,0.21,0.01,0.1,24.2,528,254,4,12,37.2,415,422,507,0
4,2016,08,23,66189082,2,47,9.1,-3276.8,-11,0.02,0.07,4.031,71,19,65535,255,13.7,7.76,7,65535,0,65535,0,0,-1.04,-0.96,0.12,0.25,0.01,0.12,24.3,531,254,-75,12,37.2,403,408,505,0
5,2016,08,23,66190082,2,47,9.2,-3276.8,-8,0.09,0.12,4.03,71,18,65535,255,13.7,9.04,7,65535,0,65535,0,0,-1,-0.96,0.04,0.21,0.01,0.09,24.3,531,254,4,12,37.2,415,421,508,0
6,2016,08,23,66191082,2,47,9.2,-3276.8,-6,0.17,0.25,4.029,71,21,65535,255,13.7,7.28,6,65535,0,65535,1,0,-1.02,-0.97,-0.13,0.04,0.04,0.18,24.3,528,254,-75,12,37.2,417,425,511,0
7,2016,08,23,66192083,2,48,8.3,-3276.8,-7,0.08,0.18,4.029,71,21,65535,255,13.7,7,5,65535,0,65535,1,1,-1,-0.96,-0.13,-0.04,0.12,0.18,24.3,528,254,-75,12,37.2,415,421,507,0
8,2016,08,23,66193082,2,48,8.3,-3276.8,-7,0.04,0.1,4.029,71,31,65535,255,13.7,4.3,5,65535,0,65535,1,2,-1.02,-0.96,-0.14,0.02,0.1,0.18,24.3,528,254,0,12,37.2,415,422,507,0
9,2016,08,23,66194083,2,48,7.5,-3276.8,-6,0.14,0.24,4.029,71,40,65535,255,13.7,5.98,4,65535,0,65535,0,0,-1.09,-0.92,-0.01,0.2,-0.04,0.16,24.3,531,254,-75,12,37.2,415,421,492,0
10,2016,08,23,66195088,2,48,7.5,-3276.8,-5,0.08,0.28,4.029,71,39,65535,255,13.7,14.44,4,65535,0,65535,0,0,-1.18,-0.78,0.01,0.22,-0.09,0.18,24.3,531,254,-75,12,37.2,415,421,507,0
11,2016,08,23,66196085,2,48,6.8,-3276.8,-4,0.08,0.2,4.029,71,39,65535,255,13.7,10.78,3,65535,0,65535,0,0,-1.07,-0.96,0.02,0.15,-0.15,0.12,24.3,531,254,2,12,37.2,415,422,508,0
