Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,119,0.0,0,5.23,5.290368100682911,5.23,5.290368100682911
False,0.07703385718224558,98.0,106,0.0,0,5.23,5.290368100682911,5.23,5.290368100682911
False,0.04915017589365018,96.0,97,0.0,0,5.23,5.290368100682911,5.23,5.290368100682911
False,0.20622406701131596,88.0,91,0.0,0,5.23,5.290368100682911,5.23,5.290368100682911
False,0.056266286053391394,97.0,88,0.0,1,6.60923953860023,2.8,6.60923953860023,2.8
False,0.13807552564467027,97.0,78,0.0,1,6.60923953860023,2.8,6.60923953860023,2.8
False,0.23863054120417748,86,86,0.0,2,5.73,3.0630933840316477,5.73,3.0630933840316477
False,0.022546241826686318,94,73,0.0,3,5.734513370393308,6.0,5.734513370393308,6.0
False,0.05134027528322976,98,59,0.0,4,2.3835477229975686,3.4,2.3835477229975686,3.4
False,0.05506632647444703,95,49,0.0,4,2.3835477229975686,3.4,2.3835477229975686,3.4
