Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,0.0162746244398067,98.0,102,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,0.06829893778855635,95.0,94,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,0.0714802195617856,86.0,86,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,0.054514388956500036,84.0,75,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,0.03532406286365836,84.0,68,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,1.033818057538869,84.0,60,0.0,0,3.293018341814432,6.0,3.293018341814432,6.0
False,0.05048968611227796,88.0,99,0.0,1,5.366671182901233,2.8,5.366671182901233,2.8
False,0.11544030951027978,81.0,87,0.0,1,5.366671182901233,2.8,5.366671182901233,2.8
False,0.053506453589828556,91.0,81,0.0,2,3.018177105340081,5.1,3.018177105340081,5.1
False,0.10772648187623574,89.0,75,0.0,2,3.018177105340081,5.1,3.018177105340081,5.1
False,0.787477209632076,81.0,70,0.0,2,3.018177105340081,5.1,3.018177105340081,5.1
False,0.23625489899362492,90.0,73,0.0,3,2.6,3.8812731968436154,2.6,3.8812731968436154
False,0.550065441675868,95.0,57,0.0,4,3.252250327825452,4.6,3.252250327825452,4.6
