10:41:02,60
10:41:03,60
10:41:12,10
10:41:26,20
10:41:32,20
10:41:38,20
10:41:41,30
10:41:50,30
10:41:54,20
10:42:09,30
10:42:10,20
10:42:22,30
10:42:23,30
10:42:33,50
10:42:42,50
10:42:45,40
10:42:52,60
10:43:00,60
10:43:00,50
10:43:14,60
10:43:25,60
10:43:31,60
10:43:37,50
10:43:38,50
10:43:48,40
10:44:07,50
10:44:08,40
10:44:14,60
10:44:23,50
10:44:29,40
10:44:43,60
10:44:44,70
10:44:50,70
10:44:55,70
10:44:58,70
10:45:03,60
10:45:08,50
10:45:12,80
10:45:35,60
10:45:35,50
10:45:42,70
10:45:47,50
10:45:55,50
10:46:02,50
10:46:08,60
10:46:12,70
10:46:16,60
10:46:23,50
10:46:29,70
10:46:40,60
10:46:47,50
10:46:49,40
10:46:52,50
10:47:00,40
10:47:18,40
10:45:23,50
10:45:32,50
10:45:43,40
10:45:54,40
10:46:28,40
10:46:42,40
10:46:47,40
10:47:9,70
10:47:26,70
10:47:36,70
10:47:46,70
10:47:51,50
10:48:28,40
10:48:55,40
10:49:12,40
10:49:30,60
10:49:39,60
10:49:54,60
10:50:2,60
10:50:23,60
10:50:35,60
10:50:53,60
10:51:4,60
10:51:8,60
10:51:14,60
10:51:30,60
10:45:21,50
10:45:26,50
10:45:36,40
10:45:49,40
10:46:0,40
10:46:22,40
10:46:39,40
10:46:44,70
10:47:9,70
10:48:0,70
10:48:4,70
10:48:18,50
10:48:36,40
10:48:58,40
10:49:15,40
