clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.731232067631,1.21593475342e-05,-0.6003211,2016_9_26-16_31_17
2.0,1.74320764045,3.93945288658,-0.4760456,2016_9_26-16_31_25
11.0,1.80435276028,17.5461800098,-0.6197623,2016_9_26-16_32_2
3.0,1.23567439896,5.67544412613,-0.5110071,2016_9_26-16_32_10
3.0,0.987762109217,3.46610999107,-0.5134951,2016_9_26-16_32_21
4.0,1.04765164451,5.50733590126,-0.4926548,2016_9_26-16_32_29
4.0,2.85534824408,3.63734197617,-0.3403337,2016_9_26-16_32_46
4.0,3.37698342553,7.14287590981,-0.3254048,2016_9_26-16_33_8
