Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.015043293549472737,98.0,-0.38625441006588934,1.0,0
True,0.03778466575993756,98.0,-0.6840962850958539,1.0,0
True,0.058759332916915895,94.0,0.02887106382588911,1.0,0
True,0.12024595097615032,85.0,-0.07357567661063458,1.0,1
True,0.01240203941814976,85.0,-1.363792139575003,1.0,1
True,0.6639964884493417,85.0,-0.4026440270001932,1.0,1
True,0.04398184734355351,85.0,-0.2132250700671201,1.0,2
True,0.49380910121451393,85.0,-0.6432788392881175,1.0,3
True,0.024075569584777776,83.0,-0.9212981894400272,1.0,3
True,0.1681172534258836,81.0,0.3744764655163477,1.0,3
True,0.04060660630039936,77.0,-0.09448319736188449,1.0,4
