SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,09,18,48830037,2,0,6553.5,-3276.8,90,0.01,0.03,4.159,93,0,65535,255,0.8,0.52,0,65535,0,65535,0,0,0,0.04,1.03,1.1,-0.02,0.01,30.5,539,254,-75,12,-0.1,415,418,505,0
1,2016,09,18,48831036,2,0,6553.5,-3276.8,90,0.01,0.04,4.159,93,0,65535,255,0.8,0.58,0,65535,0,65535,0,0,0,0.03,1.02,1.09,-0.04,0.02,30.5,539,254,-75,12,-0.1,415,419,506,0
2,2016,09,18,48832036,2,0,6553.5,-3276.8,90,0.01,0.03,4.159,93,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.04,1.03,1.09,-0.04,0.02,30.5,539,254,-75,12,-0.1,415,419,507,0
3,2016,09,18,48833037,2,0,6553.5,-3276.8,90,0.01,0.04,4.158,93,0,65535,255,0.8,0.64,0,65535,0,65535,0,0,-0.02,0.02,1.01,1.09,-0.04,0.02,30.5,539,254,-75,12,-0.1,419,424,511,0
4,2016,09,18,48834036,2,0,6553.5,-3276.8,90,0.01,0.06,4.157,92,0,65535,255,0.8,0.66,0,65535,0,65535,0,0,-0.01,0.04,1.01,1.09,-0.03,0.02,30.5,539,254,5,12,-0.1,415,419,507,0
5,2016,09,18,48835037,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.68,0,65535,0,65535,0,0,-0.01,0.03,1.03,1.1,-0.03,0.03,30.4,539,254,-75,12,-0.1,415,417,506,0
6,2016,09,18,48836037,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.64,0,65535,0,65535,0,0,-0.01,0.04,1.02,1.1,-0.04,0.02,30.4,539,254,-75,12,-0.1,415,419,507,0
7,2016,09,18,48837037,2,0,6553.5,-3276.8,90,0.01,0.02,4.156,92,0,65535,255,0.8,0.62,0,65535,0,65535,0,0,-0.01,0.03,1.03,1.1,-0.02,0.01,30.4,539,254,0,12,-0.1,421,412,517,0
8,2016,09,18,48838037,2,0,6553.5,-3276.8,90,0.01,0.15,4.156,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.18,0.03,1.02,1.1,-0.03,0.16,30.4,539,254,-75,12,-0.1,414,419,507,0
9,2016,09,18,48839037,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.04,1.03,1.09,-0.03,0.02,30.3,539,254,-75,12,-0.1,414,420,507,0
10,2016,09,18,48840037,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.58,0,65535,0,65535,0,0,0,0.03,1.02,1.1,-0.03,0.01,30.3,539,254,3,12,37.1,415,419,506,0
11,2016,09,18,48841037,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.56,0,65535,0,65535,0,0,-0.01,0.04,1.03,1.1,-0.03,0.01,30.3,539,254,-75,12,37.1,415,419,507,0
12,2016,09,18,48842041,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.03,1.02,1.09,-0.03,0.02,30.3,539,254,-75,12,37.1,415,419,507,0
13,2016,09,18,48843039,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.56,0,65535,0,65535,0,0,-0.02,0.03,1.02,1.09,-0.03,0.01,30.3,539,254,-75,12,37.1,414,419,506,0
14,2016,09,18,48844041,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.03,1.02,1.1,-0.03,0.01,30.3,539,254,-75,12,37.1,402,412,482,0
15,2016,09,18,48845038,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.04,1.02,1.09,-0.03,0.01,30.3,539,254,1,12,37.1,414,418,507,0
16,2016,09,18,48846039,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.64,0,65535,0,65535,0,0,-0.01,0.03,1.02,1.1,-0.03,0.03,30.3,539,254,-75,12,37.1,415,418,506,0
17,2016,09,18,48847042,2,0,6553.5,-3276.8,90,0.01,0.03,4.156,92,0,65535,255,0.8,0.62,0,65535,0,65535,0,0,-0.01,0.03,1.02,1.09,-0.02,0.02,30.3,539,254,-75,12,37.1,415,419,507,0
18,2016,09,18,48848039,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.64,0,65535,0,65535,0,0,-0.01,0.03,1.02,1.1,-0.02,0.02,30.3,539,254,2,12,37.1,415,418,507,0
19,2016,09,18,48849040,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.62,0,65535,0,65535,0,0,-0.01,0.04,1.02,1.09,-0.02,0.02,30.2,539,254,-75,12,37.1,415,418,506,0
20,2016,09,18,48850040,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.02,0.03,1.02,1.1,-0.03,0.02,30.2,539,254,-75,12,37.1,414,419,507,0
21,2016,09,18,48851041,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,0,0.03,1.02,1.1,-0.03,0.01,30.2,539,254,2,12,37.1,418,422,509,0
22,2016,09,18,48852045,2,0,6553.5,-3276.8,90,0.01,0.04,4.155,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.03,1.01,1.12,-0.03,0.01,30.2,539,254,-75,12,37.1,414,419,506,0
23,2016,09,18,48853044,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.56,0,65535,0,65535,0,0,-0.01,0.03,1.03,1.1,-0.03,0.04,30.2,539,254,-75,12,37.1,415,419,506,0
24,2016,09,18,48854041,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.56,0,65535,0,65535,0,0,-0.02,0.03,1.02,1.1,-0.03,0.01,30.2,539,254,-75,12,37.1,415,420,507,0
25,2016,09,18,48855041,2,0,6553.5,-3276.8,90,0.01,0.02,4.155,92,0,65535,255,0.8,0.56,0,65535,0,65535,0,0,0,0.04,1.03,1.09,-0.03,0.02,30.2,539,254,-75,12,37.1,412,417,488,0
26,2016,09,18,48856041,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.03,1.03,1.1,-0.03,0.02,30.2,539,254,2,12,37.1,414,419,506,0
27,2016,09,18,48857042,2,0,6553.5,-3276.8,90,0.01,0.02,4.155,92,0,65535,255,0.8,0.58,0,65535,0,65535,0,0,-0.01,0.03,1.03,1.09,-0.03,0.02,30.1,539,254,-75,12,37.1,414,419,506,0
28,2016,09,18,48858043,2,0,6553.5,-3276.8,90,0.01,0.03,4.155,92,0,65535,255,0.8,0.6,0,65535,0,65535,0,0,-0.01,0.03,1.02,1.09,-0.02,0.02,30.1,539,254,-75,12,37.1,415,420,507,0
