Time, Type, Data
26/09/2016 17:02:40.312,RX,02-22-58-69-E0-07-09-1A-35-8F-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-BB-ED-B7-E3-6E-BB-EC-AC-93-CE-B9-E5-91-3B-DE-78-E3-8F-53-8E-39-E7-9E-87-4E-7A-EA-AF-D3-7E-FB-ED-B6-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-52-03
26/09/2016 17:02:40.559,RX,02-22-58-6A-E0-07-09-1A-31-90-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-1D-03
26/09/2016 17:02:40.659,TX,02-23-00-00-03
26/09/2016 17:02:40.713,RX,02-21-20-5A-E0-07-09-1A-19-8E-A8-03-FF-FD-E7-9F-7F-FE-FD-F7-DF-7F-FF-FD-F7-9F-7F-FE-F9-E7-5F-7F-FD-F5-07-C2-03
26/09/2016 17:02:40.828,RX,02-24-2D-5A-E0-07-09-1A-19-8E-A8-03-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F1-03-02-22-58-6B-E0-07-09-1A-2D-91-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-2C-03
26/09/2016 17:02:41.060,RX,02-22-58-6C-E0-07-09-1A-29-92-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B6-D7-4E-FB-EC-B2-CB-3E-3B-ED-B5-D7-5E-7B-ED-B5-D7-4E-FB-EC-B2-C3-EE-3A-79-03
26/09/2016 17:02:41.176,RX,02-20-35-02-E0-07-09-1A-39-93-A8-03-33-00-83-00-00-80-DC-FF-02-00-06-00-7A-0F-06-00-EC-13-A4-06-AB-FF-B2-FF-39-00-41-00-FF-FF-07-00-00-00-FF-FF-00-00-00-00-01-00-3C-A0-C6-03-02-2B-47-6A-E0-07-09-1A-39-93-A8-03-02-33-00-83-00-00-80-DC-FF-02-00-06-00-7A-0F-3C-06-00-FF-FF-FF-EC-13-A4-06-01-FF-FF-00-FF-FF-09-00-AB-FF-B2-FF-39-00-41-00-FF-FF-07-00-0E-01-10-02-D7-00-0C-74-01-9F-01-A4-01-FB-01-00-00-F6-03
26/09/2016 17:02:41.314,RX,02-22-58-6D-E0-07-09-1A-25-93-A8-03-AB-A3-5E-7A-E8-9F-77-CE-F9-E6-9A-67-6E-39-E4-89-07-BE-F7-DD-75-CF-2D-F7-DB-6B-9B-1D-F6-D6-54-33-5D-B4-CF-37-CB-CC-F2-C9-22-73-7C-F1-C4-0F-33-BC-B0-C2-0B-37-FC-30-C4-11-3F-DC-70-C3-10-63-4C-F2-CC-43-43-AD-75-D8-6A-D7-4D-78-E5-A6-CB-8E-3B-D8-03
26/09/2016 17:02:41.566,RX,02-22-58-6E-E0-07-09-1A-21-94-A8-03-B9-E3-6E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B6-DB-5E-3B-ED-B1-C3-FE-BA-EB-AD-B7-BE-BA-EA-A8-9F-7E-7A-EA-AD-C7-4E-BB-ED-B7-DB-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-BB-03
26/09/2016 17:02:41.667,TX,02-23-00-00-03
26/09/2016 17:02:41.720,RX,02-21-20-5B-E0-07-09-1A-09-92-A8-03-FD-F5-D7-5F-7F-FD-F5-D7-5F-7F-FD-F5-D7-5F-7F-FD-F5-D7-9F-7F-FE-F5-07-47-03
