Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
trinculo,1470158917.208197,False,0,1000,0,0,5.69369,5.90978,5.73,6,0.0972496,120,2,0.386031,8.185063,*
*,*,*,3.40666,1000,0,1,5.71327,4.6077,5.73,4.6,0.0184161,119,7,3.248880,5.771220,-0.0238121
*,*,*,17.2521,990,0.01,2,6.23215,4.55875,6.23,4.6,0.0413065,115,5,2.658034,5.648575,-0.0759799
*,*,*,24.0503,990,0.01,3,6.17341,5.4986,6.23,5.5,0.0566122,113,4,1.938839,4.395559,-0.107459
*,*,*,30.834,970,0.03,4,6.73144,5.44965,6.73,5.5,0.0503722,111,5,2.642256,5.570994,-0.112779
*,*,*,41.0866,970,0.03,5,6.75102,2.84548,6.73,2.8,0.0501047,108,6,3.206370,4.402332,-0.142579
*,*,*,51.3629,960,0.04,6,6.24194,2.84548,6.23,2.8,0.0470217,105,7,4.060860,5.621850,-0.165266
*,*,*,61.5131,940,0.06,7,6.25173,4.07903,6.23,4.1,0.0301924,102,6,3.179434,5.728085,-0.172644
*,*,*,71.8143,930,0.07,8,5.73285,4.05945,5.73,4.1,0.0406461,99,6,3.151693,5.630394,-0.205485
*,*,*,81.8575,920,0.08,9,5.71327,2.80632,5.73,2.8,0.0178838,96,5,2.638216,4.395191,-0.213413
*,*,*,88.6411,920,0.08,10,5.18461,2.83569,5.23,2.8,0.0577457,94,6,2.615678,4.323331,-0.263309
*,*,*,98.8093,900,0.1,11,5.20419,4.58812,5.23,4.6,0.0284178,91,6,2.711290,4.443965,-0.261313
*,*,*,105.687,890,0.11,12,4.31329,4.6077,4.33,4.6,0.0184018,89,7,3.763959,7.753916,-0.268801
*,*,*,119.279,880,0.12,13,4.33287,5.11679,4.33,5.1,0.0170281,85,6,3.321795,4.396300,-0.302771
*,*,*,126.059,870,0.13,14,5.20419,5.12657,5.23,5.1,0.0370493,83,11,4.308222,5.634418,-0.332787
*,*,*,156.849,820,0.18,15,5.21398,5.99789,5.23,6,0.0161624,74,9,3.913340,14.615819,-0.382122
*,*,*,173.902,810,0.19,16,2.14967,5.97831,2.1,6,0.0542018,69,4,2.231207,4.398003,-0.455651
*,*,*,184.164,800,0.2,17,2.11051,5.11679,2.1,5.1,0.0198062,66,6,3.149583,5.633313,-0.454855
*,*,*,197.895,790,0.21,18,3.77483,5.06783,3.83,5.1,0.0638614,62,7,3.086714,12.440343,-0.522896
*,*,*,214.942,770,0.23,19,3.81399,4.58812,3.83,4.6,0.0199355,57,9,3.990823,2.208835,-0.529952
*,*,*,228.63,750,0.25,20,2.08114,4.57833,2.1,4.6,0.0287258,53,4,2.346150,4.421657,-0.566544
*,*,*,235.39,750,0.25,21,2.0224,3.43289,2.1,3.4,0.0842787,51,6,2.287249,5.649437,-0.628209
*,*,*,249.021,730,0.27,22,2.6196,3.39373,2.6,3.4,0.0205784,47,6,2.255619,7.884697,-0.610434
*,*,*,259.248,720,0.28,23,2.59023,4.06924,2.6,4.1,0.0322704,44,3,1.546601,4.279661,-0.644203
*,*,*,265.906,710,0.29,24,4.71468,4.07903,4.73,4.1,0.0259664,42,6,2.243840,7.871386,-0.654475
*,*,*,276.276,710,0.29,25,4.71468,2.88464,4.73,2.8,0.0860174,39,6,2.500314,4.440344,-0.729513
*,*,*,286.566,700,0.3,26,4,2.81611,4,2.8,0.0161116,36,6,2.643980,5.650287,-0.702084
*,*,*,296.797,690,0.31,27,3.97063,3.54058,4,3.55,0.0308411,33,6,3.161973,7.816650,-0.738131
*,*,*,306.998,680,0.32,28,3.2168,3.55037,3.255,3.55,0.0382067,30,4,2.019229,4.447936,-0.768655
*,*,*,313.845,670,0.33,29,3.24617,2.85527,3.255,2.8,0.055973,28,3,1.645034,5.448927,-0.79698
*,*,*,322.692,650,0.35,30,1.97345,2.80632,2.1,2.8,0.126705,24,4,2.630136,7.539016,-0.880029
*,*,*,1.47016e+09,650,*,31,*,*,*,*,6.92861e-310,19,2,1.175905,3.263126,*
*,*,*,1.47016e+09,650,*,*,*,*,*,*,1.83496e-316,16,-1,0.000000,0.000000,*
*,*,*,2.42092e-322,0,*,*,*,*,*,*,0,0,0,0.000000,0.000000,*
