SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,09,26,59481058,2,95,6.9,-3276.8,-26,0.03,0.12,4.03,71,2638,65535,255,9.504,12.94,0,65535,0,65535,0,0,-0.96,-0.87,0.38,0.5,0,0.18,20.8,531,254,-75,12,-0.1,416,422,508,0
1,2016,09,26,59482055,2,95,6.9,-3276.8,-24,0.02,0.07,4.029,71,2291,65535,255,9.504,9.32,0,65535,0,65535,0,0,-0.96,-0.9,0.37,0.46,0,0.13,20.8,531,254,0,12,-0.1,412,415,501,0
2,2016,09,26,59483059,2,95,7.2,-3276.8,-24,0.02,0.06,4.029,71,1966,65535,255,54.82,6.86,0,65535,0,65535,0,1,-0.96,-0.89,0.39,0.46,0.03,0.14,20.8,528,0,-6,12,-0.1,415,421,508,0
3,2016,09,26,59484053,2,95,7.2,-3276.8,-24,0.02,0.06,4.028,71,1708,65535,255,54.82,6.12,0,65535,0,65535,0,2,-0.96,-0.91,0.39,0.46,0.04,0.14,20.8,528,254,-75,12,-0.1,413,420,506,0
4,2016,09,26,59485058,2,0,7.7,-3276.8,-24,0.02,0.06,4.026,71,1466,65535,255,0.8,3.1,0,65535,0,65535,1,0,-0.96,-0.9,0.39,0.48,0.06,0.15,20.8,528,254,-75,12,-0.1,416,423,507,0
5,2016,09,26,59486058,2,0,7.7,-3276.8,-25,0.02,0.06,4.018,69,1273,65535,255,0.8,5.32,0,65535,0,65535,1,1,-0.96,-0.9,0.4,0.45,0.08,0.15,20.8,528,254,0,12,-0.1,415,422,507,0
6,2016,09,26,59487057,2,70,6.9,-3276.8,-25,0.02,0.04,4.017,69,1095,65535,255,0.8,6.08,0,65535,0,65535,1,2,-0.96,-0.91,0.38,0.46,0.08,0.16,20.8,528,254,-8,12,-0.1,416,422,508,0
7,2016,09,26,59488058,2,80,6.9,-3276.8,-25,0.02,0.04,4.016,69,952,65535,255,22.82,5.34,0,65535,0,65535,0,0,-0.96,-0.9,0.39,0.46,0.09,0.16,20.8,531,254,0,12,-0.1,416,422,508,0
8,2016,09,26,59489061,2,84,6.5,-3276.8,-24,0.02,0.06,4.016,69,817,65535,255,22.82,3.48,0,65535,0,65535,0,1,-0.96,-0.9,0.4,0.49,0.09,0.18,20.8,528,254,0,12,-0.1,416,422,509,0
9,2016,09,26,59490058,2,86,6.5,-3276.8,-25,0.01,0.04,4.016,69,709,65535,255,20.5,3.4,0,65535,0,65535,0,2,-0.96,-0.91,0.38,0.44,0.12,0.18,20.8,528,254,0,12,-0.1,416,423,508,0
