Time, Type, Data
26/09/2016 15:05:01.177,RX,02-24-2D-30-E0-07-09-1A-9A-D7-3C-03-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-1F-03-02-22-58-C3-E0-07-09-1A-9E-DA-3C-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-28-03-02-14-00-00-06-02-BD-00-00-06
26/09/2016 15:05:01.324,RX,02-15-00-00-06-02-19-00-00-06-02-16-00-00-06-02-1E-00-00-06-02-BC-00-00-06
26/09/2016 15:05:01.453,RX,02-22-58-C4-E0-07-09-1A-97-DB-3C-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-7B-03
26/09/2016 15:05:01.649,RX,02-20-35-00-E0-07-09-1A-87-DD-3C-03-7D-00-B7-00-00-80-07-00-02-00-06-00-C4-0F-06-00-00-00-E4-07-9B-FF-A0-FF-07-00-0F-00-FD-FF-03-00-00-00-FF-FF-00-00-00-00-00-00-48-20-C3-03
26/09/2016 15:05:01.756,RX,02-2B-47-46-E0-07-09-1A-87-DD-3C-03-02-7D-00-B7-00-00-80-07-00-02-00-06-00-C4-0F-48-06-00-FF-FF-FF-00-00-E4-07-01-FF-FF-00-FF-FF-00-00-9B-FF-A0-FF-07-00-0F-00-FD-FF-03-00-F6-00-13-02-FE-FC-0C-73-01-9E-01-A5-01-FB-01-00-00-B4-03-02-22-58-C5-E0-07-09-1A-93-DC-3C-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-AD-03
26/09/2016 15:05:01.886,RX,02-22-58-C6-E0-07-09-1A-8F-DD-3C-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-26-03
26/09/2016 15:05:02.038,RX,02-23-00-00-03
26/09/2016 15:05:02.122,TX,02-23-00-00-03
26/09/2016 15:05:02.138,RX,02-21-20-31-E0-07-09-1A-87-DB-3C-03-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-DE-03-02-24-2D-31-E0-07-09-1A-87-DB-3C-03-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-EE-FE-B1-03
26/09/2016 15:05:02.239,RX,02-22-58-C7-E0-07-09-1A-8B-DE-3C-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-64-03
