SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,26,54320519,125,18.3,-3276.8,7,0.02,0.06,4.036,6,0,2.02,-1.01,-0.96,0.07,0.15,-0.03,0.03,0,65535,,,0,8264
1,2016,09,26,54321519,125,18.3,-3276.8,7,0.01,0.04,4.036,5,0,0.88,-1.03,-0.96,0.08,0.16,-0.02,0.03,0,65535,,,0,8264
2,2016,09,26,54322522,125,18,-3276.8,6,0.02,0.04,4.036,5,0,0.4,-1,-0.96,0.06,0.15,-0.06,0.02,0,65535,,,0,8264
3,2016,09,26,54323516,125,18,-3276.8,6,0.02,0.06,4.036,4,0,5.74,-1.01,-0.96,0.06,0.16,-0.08,0.03,0,65535,,,0,8264
4,2016,09,26,54324522,0,17.8,-3276.8,6,0.01,0.04,4.036,4,0.8,2.64,-1.01,-0.96,0.06,0.15,-0.07,0,0,65535,,,0,8264
5,2016,09,26,54325516,0,17.8,-3276.8,6,0.02,0.06,4.036,4,0.8,1.14,-1.01,-0.97,0.04,0.15,-0.07,0,0,65535,,,0,8264
6,2016,09,26,54326517,0,16.3,-3276.8,4,0.02,0.06,4.036,4,0.8,0.52,-1.02,-0.97,0.03,0.13,-0.07,-0.01,0,65535,,,0,8264
7,2016,09,26,54327519,0,16.3,-3276.8,4,0.02,0.06,4.036,4,0.8,0.22,-1,-0.97,0.03,0.12,-0.08,-0.01,0,65535,,,0,8264
8,2016,09,26,54328522,0,15.3,-3276.8,4,0.01,0.04,4.036,4,0.8,0.18,-1.01,-0.97,0.02,0.12,-0.07,-0.01,0,65535,,,0,8264
9,2016,09,26,54329519,0,15.3,-3276.8,6,0.06,0.14,4.036,4,0.8,1.58,-1.1,-0.96,0.02,0.2,-0.13,0.1,0,65535,,,0,-24504
10,2016,09,26,54330519,60,14.7,-3276.8,9,0.1,0.15,4.036,4,0.8,0.94,-1,-0.95,0.16,0.26,-0.08,0.07,0,65535,,,3,-24504
11,2016,09,26,54331523,54,14.7,-3276.8,12,0.08,0.12,4.036,5,9.644,0.46,-1,-0.96,0.21,0.31,-0.02,0.06,0,65535,,,3,-24504
