Time,One Robot,Two Robots
0,0,0
12,2,1
24,2,1
36,2,1
48,2,2
60,2,1
72,2,0
84,1,1
96,1,1
108,1,1
120,1,1
132,2,0
144,2,0
156,2,0
168,1,1
180,1,2
192,*,1
204,*,1
