Robot,Runtime,Run Before,Arrival Time,Health at Goal,Given x,Given y,Given z,Expected x,Expected y,Expected z,Disparity,Input Delay,Trust Value
miranda,231.514934,False,0,100000,5.73,6,0,5.73,6,0,1.90735e-08,-5.36254,0.000212154
*,*,*,10.9638,100000,5.73,4.6,0,5.73,4.6,0,9.72561e-08,-0.878428,0.000160258
*,*,*,19.7141,100000,6.23,4.6,0,6.23,4.6,0,9.72561e-08,1.39043,0.000133999
*,*,*,26.3522,100000,6.23,5.5,0,6.23,5.5,0,1.90735e-08,3.567,0.000108809
*,*,*,32.8993,100000,6.73,5.5,0,6.73,5.5,0,1.90735e-08,-0.649539,0.000157609
*,*,*,39.3726,100000,6.73,2.9,0,6.73,2.8,0,0.1,1.62088,0.000130175
*,*,*,50.4416,100000,6.23,2.9,0,6.23,2.8,0,0.1,1.56268,0.000130848
*,*,*,54.8802,100000,6.23,4.1,0,6.23,4.1,0,9.72561e-08,1.53018,0.000132382
*,*,*,61.493,100000,5.73,4.1,0,5.73,4.1,0,9.72561e-08,-0.623561,0.000157308
*,*,*,67.9882,100000,5.73,2.9,0,5.73,2.8,0,0.1,-0.530095,0.000155069
*,*,*,76.7372,100000,5.23,2.9,0,5.23,2.8,0,0.1,-0.43586,0.000153978
*,*,*,83.3936,100000,5.23,4.6,0,5.23,4.6,0,9.72561e-08,1.67101,0.000130752
*,*,*,89.987,100000,4.33,4.6,0,4.33,4.6,0,1.2213e-07,-0.558538,0.000156556
*,*,*,96.7692,100000,4.33,5.1,0,4.33,5.1,0,1.2213e-07,-0.569873,0.000156687
*,*,*,105.466,100000,5.23,5.1,0,5.23,5.1,0,9.72561e-08,1.70936,0.000130308
*,*,*,109.882,100000,5.23,6,0,5.23,6,0,1.90735e-08,-0.536899,0.000156305
*,*,*,118.75,100000,2.1,6,0,2.1,6,0,9.53674e-08,1.58864,0.000131705
*,*,*,129.801,100000,2.1,5.1,0,2.1,5.1,0,1.3487e-07,8.45786,5.22051e-05
*,*,*,134.235,100000,3.83,5.1,0,3.83,5.1,0,1.2213e-07,8.48162,5.19301e-05
*,*,*,143.11,100000,3.83,4.6,0,3.83,4.6,0,1.2213e-07,6.24469,7.7819e-05
*,*,*,147.522,100000,2.1,4.6,0,2.1,4.6,0,1.3487e-07,8.40468,5.28206e-05
*,*,*,156.292,100000,2.1,3.4,0,2.1,3.4,0,1.3487e-07,10.7347,2.58548e-05
*,*,*,165.066,100000,2.6,3.4,0,2.6,3.4,0,1.3487e-07,12.9686,0
*,*,*,169.541,100000,2.6,4.1,0,2.6,4.1,0,1.3487e-07,10.7174,2.60546e-05
*,*,*,176.21,100000,4.73,4.1,0,4.73,4.1,0,9.72561e-08,8.43419,5.24791e-05
*,*,*,187.305,100000,4.73,2.9,0,4.73,2.8,0,0.1,8.39516,5.17735e-05
*,*,*,193.936,100000,4,2.9,0,4,2.8,0,0.1,8.27116,5.32086e-05
*,*,*,200.571,100000,4,3.55,0,4,3.55,0,4.76837e-08,8.28914,5.41578e-05
*,*,*,207.223,100000,3.255,3.55,0,3.255,3.55,0,1.23978e-07,6.13644,7.90719e-05
*,*,*,216.128,100000,3.255,2.9,0,3.255,2.8,0,0.1,3.79827,0.000104975
*,*,*,224.963,100000,2.1,2.9,0,2.1,2.8,0,0.1,3.91922,0.000103575
*,*,*,231.515,100000,*,*,0,*,*,0,4.24399e-314,*,1
*,*,*,1.34386e-321,144,*,*,0,*,*,0,4.94066e-324,*,1
