Robot,Runtime,Run Before,Arrival Time,Health at Goal,Given x,Given y,Given z,Expected x,Expected y,Expected z,Disparity,Input Delay,Trust Value
miranda,238.534234,False,0,100000,5.73,6,0,5.73,6,0,1.90735e-08,-12.0508,1.28532
*,*,*,15.4334,100000,5.73,4.6,0,5.73,4.6,0,9.72561e-08,-18.8689,1.37774
*,*,*,24.3082,100000,6.23,4.6,0,6.23,4.6,0,9.72561e-08,-24.4979,1.45403
*,*,*,30.9243,100000,6.23,5.5,0,6.23,5.5,0,1.90735e-08,-27.9067,1.50023
*,*,*,35.4585,100000,6.73,5.5,0,6.73,5.5,0,1.90735e-08,-22.6774,1.42935
*,*,*,44.2219,100000,6.73,2.9,0,6.73,2.8,0,0.1,-15.1061,1.32538
*,*,*,55.2116,100000,6.23,2.9,0,6.23,2.8,0,0.1,-34.5401,1.58879
*,*,*,59.6166,100000,6.23,4.1,0,6.23,4.1,0,9.72561e-08,-37.4043,1.62896
*,*,*,66.2488,100000,5.73,4.1,0,5.73,4.1,0,9.72561e-08,-60.3587,1.94009
*,*,*,70.6835,100000,5.73,2.9,0,5.73,2.8,0,0.1,-41.9155,1.68875
*,*,*,79.5064,100000,5.23,2.9,0,5.23,2.8,0,0.1,-47.3906,1.76296
*,*,*,86.0675,100000,5.23,4.6,0,5.23,4.6,0,9.72561e-08,-50.62,1.80809
*,*,*,94.8512,100000,4.33,4.6,0,4.33,4.6,0,1.2213e-07,-56.2361,1.88421
*,*,*,101.531,100000,4.33,5.1,0,4.33,5.1,0,1.2213e-07,-61.5549,1.9563
*,*,*,108.186,100000,5.23,5.1,0,5.23,5.1,0,9.72561e-08,-28.2824,1.50532
*,*,*,114.816,100000,5.23,6,0,5.23,6,0,1.90735e-08,-67.0996,2.03145
*,*,*,121.349,100000,2.1,6,0,2.1,6,0,9.53674e-08,-70.2248,2.07381
*,*,*,139.265,100000,2.1,5.1,0,2.1,5.1,0,1.3487e-07,-84.078,2.26158
*,*,*,145.926,100000,3.83,5.1,0,3.83,5.1,0,1.2213e-07,-86.0813,2.28873
*,*,*,152.554,100000,3.83,4.6,0,3.83,4.6,0,1.2213e-07,82.7791,0
*,*,*,161.369,100000,2.1,4.6,0,2.1,4.6,0,1.3487e-07,-98.7645,2.46064
*,*,*,172.432,100000,2.1,3.4,0,2.1,3.4,0,1.3487e-07,-104.434,2.53749
*,*,*,179.041,100000,2.6,3.4,0,2.6,3.4,0,1.3487e-07,-59.8603,1.93333
*,*,*,183.464,100000,2.6,4.1,0,2.6,4.1,0,1.3487e-07,-162.395,3.32308
*,*,*,190.093,100000,4.73,4.1,0,4.73,4.1,0,9.72561e-08,-113.2,2.65629
*,*,*,198.906,100000,4.73,2.9,0,4.73,2.8,0,0.1,-117.723,2.71625
*,*,*,207.654,100000,4,2.9,0,4,2.8,0,0.1,-122.134,2.77603
*,*,*,212.104,100000,4,3.55,0,4,3.55,0,4.76837e-08,-64.0291,1.98983
*,*,*,218.763,100000,3.255,3.55,0,3.255,3.55,0,1.23978e-07,-127.814,2.85438
*,*,*,225.375,100000,3.255,2.9,0,3.255,2.8,0,0.1,-66.2378,2.01842
*,*,*,232.006,100000,2.1,2.9,0,2.1,2.8,0,0.1,-136.82,2.97509
*,*,*,238.534,100000,*,*,0,*,*,0,4.24399e-314,*,1172.08
*,*,*,1.34386e-321,144,*,*,0,*,*,0,4.94066e-324,*,1172.08
