Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value
miranda,217.069699,False,0,10000,0,5.73,6,5.73,6,1.90735e-08,-3.79086e-05,1
*,*,*,3.43313,10000,0,5.73,4.6,5.73,4.6,9.72561e-08,8.80115,0.570904
*,*,*,12.2387,10000,0,6.23,4.6,6.23,4.6,9.72561e-08,8.86408,0.567836
*,*,*,18.8503,10000,0,6.23,5.5,6.23,5.5,1.90735e-08,8.83904,0.569057
*,*,*,25.4909,10000,0,6.73,5.5,6.73,5.5,1.90735e-08,6.75569,0.670629
*,*,*,30.0068,10000,0,6.73,2.9,6.73,2.8,0.1,11.0471,0.45653
*,*,*,40.8111,10000,0,6.23,2.9,6.23,2.8,0.1,11.1659,0.450736
*,*,*,47.3099,10000,0,6.23,4.1,6.23,4.1,9.72561e-08,9.16607,0.553113
*,*,*,53.8797,10000,0,5.73,4.1,5.73,4.1,9.72561e-08,9.1441,0.554184
*,*,*,60.4875,10000,0,5.73,2.9,5.73,2.8,0.1,6.98675,0.654489
*,*,*,69.3043,10000,0,5.23,2.9,5.23,2.8,0.1,6.99858,0.653912
*,*,*,76.3352,10000,0,5.23,4.6,5.23,4.6,9.72561e-08,6.50591,0.682807
*,*,*,82.9491,10000,0,4.33,4.6,4.33,4.6,1.2213e-07,8.6515,0.5782
*,*,*,89.4791,10000,0,4.33,5.1,4.33,5.1,1.2213e-07,6.60888,0.677787
*,*,*,96.0993,10000,0,5.23,5.1,5.23,5.1,9.72561e-08,8.98273,0.562051
*,*,*,102.67,10000,0,5.23,6,5.23,6,1.90735e-08,8.98403,0.561988
*,*,*,109.188,10000,0,2.1,6,2.1,6,9.53674e-08,8.95015,0.56364
*,*,*,120.219,10000,0,2.1,5.1,2.1,5.1,1.3487e-07,15.8237,0.228525
*,*,*,126.826,10000,0,3.83,5.1,3.83,5.1,1.2213e-07,18.0866,0.118198
*,*,*,133.477,10000,0,3.83,4.6,3.83,4.6,1.2213e-07,15.864,0.22656
*,*,*,140.119,10000,0,2.1,4.6,2.1,4.6,1.3487e-07,18.0788,0.11858
*,*,*,148.979,10000,0,2.1,3.4,2.1,3.4,1.3487e-07,20.2771,0.0114015
*,*,*,155.466,10000,0,2.6,3.4,2.6,3.4,1.3487e-07,20.0911,0.0204683
*,*,*,160.098,10000,0,2.6,4.1,2.6,4.1,1.3487e-07,20.2552,0.0124682
*,*,*,166.575,10000,0,4.73,4.1,4.73,4.1,9.72561e-08,20.3095,0.00982202
*,*,*,177.584,10000,0,4.73,2.9,4.73,2.8,0.1,18.1264,0.111381
*,*,*,184.091,10000,0,4,2.9,4,2.8,0.1,20.411,0
*,*,*,188.43,10000,0,4,3.55,4,3.55,4.76837e-08,20.4622,0.00237761
*,*,*,195.047,10000,0,3.255,3.55,3.255,3.55,1.23978e-07,18.2646,0.109521
*,*,*,203.881,10000,0,3.255,2.9,3.255,2.8,0.1,18.3539,0.100292
*,*,*,208.21,10000,0,2.1,2.9,2.1,2.8,0.1,18.3695,0.0995321
*,*,*,217.07,10000,*,*,*,*,*,8.80115,*,4213.42
*,*,*,1.34386e-321,144,*,*,*,*,*,6.75569,*,4213.42
