Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value
prospero,238.773124,False,0,10000,0,5.73,6,5.73,6,1.90735e-08,-0.000133038,0
*,*,*,3.43457,10000,0,5.73,4.6,5.73,4.6,9.72561e-08,-5.63375,0.20856
*,*,*,12.4701,10000,0,6.23,4.6,6.23,4.6,9.72561e-08,-3.48993,0.129195
*,*,*,16.8654,10000,0,6.23,5.5,6.23,5.5,1.90735e-08,-1.3266,0.0491067
*,*,*,23.6496,10000,0,6.73,5.5,6.73,5.5,1.90735e-08,-1.37412,0.050866
*,*,*,32.4802,10000,0,6.73,2.9,6.73,2.8,0.1,-7.90085,0.288788
*,*,*,46.0116,10000,0,6.23,2.9,6.23,2.8,0.1,-6.21529,0.226387
*,*,*,50.6285,10000,0,6.23,4.1,6.23,4.1,9.72561e-08,-6.55728,0.24275
*,*,*,57.2179,10000,0,5.73,4.1,5.73,4.1,9.72561e-08,-9.58527,0.354848
*,*,*,64.5591,10000,0,5.73,2.9,5.73,2.8,0.1,-7.2714,0.265485
*,*,*,71.2553,10000,0,5.23,2.9,5.23,2.8,0.1,-7.61257,0.278116
*,*,*,78.3998,10000,0,5.23,4.6,5.23,4.6,9.72561e-08,-5.29111,0.195875
*,*,*,87.2636,10000,0,4.33,4.6,4.33,4.6,1.2213e-07,-7.48767,0.277194
*,*,*,93.8376,10000,0,4.33,5.1,4.33,5.1,1.2213e-07,-7.57226,0.280325
*,*,*,100.469,10000,0,5.23,5.1,5.23,5.1,9.72561e-08,-5.37605,0.19902
*,*,*,104.854,10000,0,5.23,6,5.23,6,1.90735e-08,-23.7146,0.877927
*,*,*,129.768,10000,0,2.1,6,2.1,6,9.53674e-08,-21.5915,0.799326
*,*,*,138.619,10000,0,2.1,5.1,2.1,5.1,1.3487e-07,-21.6547,0.801666
*,*,*,145.015,10000,0,3.83,5.1,3.83,5.1,1.2213e-07,-23.5706,0.872594
*,*,*,156.075,10000,0,3.83,4.6,3.83,4.6,1.2213e-07,-25.7747,0.954192
*,*,*,160.513,10000,0,2.1,4.6,2.1,4.6,1.3487e-07,-23.7122,0.877837
*,*,*,167.561,10000,0,2.1,3.4,2.1,3.4,1.3487e-07,-21.8116,0.807476
*,*,*,176.392,10000,0,2.6,3.4,2.6,3.4,1.3487e-07,-21.9337,0.811997
*,*,*,180.825,10000,0,2.6,4.1,2.6,4.1,1.3487e-07,-23.9688,0.887338
*,*,*,187.469,10000,0,4.73,4.1,4.73,4.1,9.72561e-08,-24.0819,0.891525
*,*,*,196.181,10000,0,4.73,2.9,4.73,2.8,0.1,-21.8324,0.804545
*,*,*,203.253,10000,0,4,2.9,4,2.8,0.1,-22.3727,0.824545
*,*,*,209.851,10000,0,4,3.55,4,3.55,4.76837e-08,-24.641,0.912222
*,*,*,214.285,10000,0,3.255,3.55,3.255,3.55,1.23978e-07,-26.942,0.997405
*,*,*,225.425,10000,0,3.255,2.9,3.255,2.8,0.1,-24.6956,0.910543
*,*,*,232.076,10000,0,2.1,2.9,2.1,2.8,0.1,-27.1121,1
*,*,*,238.773,10000,*,*,*,*,*,4.24399e-314,*,3198.62
*,*,*,1.34386e-321,144,*,*,*,*,*,4.94066e-324,*,3198.62
