Robot, Runtime, Run Before, Arrival Time, Health at Goal, Given x, Given y, Given z, Expected x, Expected y, Expected z, Input Delay, Trust Value
miranda,0.000000,False,*,*,6.73,6,0,6.73,6,0,0,1
*,*,*,*,*,5.72306,6.01747,0,6.73,6,0,0,0.809782
*,*,*,*,*,5.75243,4.61749,0,6.73,6,0,0,0.680187
*,*,*,*,*,6.22236,4.62728,0,6.73,6,0,0,0.723561
*,*,*,*,*,6.24194,5.48881,0,6.73,6,0,0,0.866506
*,*,*,*,*,6.76081,5.47902,0,6.73,6,0,0,0.901426
*,*,*,*,*,6.73144,2.79653,0,6.73,6,0,0,0.394932
*,*,*,*,*,6.23215,2.81611,0,6.73,6,0,0,0.391323
*,*,*,*,*,6.22236,4.08882,0,6.73,6,0,0,0.626502
*,*,*,*,*,5.72306,4.09861,0,6.73,6,0,0,0.593616
*,*,*,*,*,5.72306,2.79653,0,6.73,6,0,0,0.365745
*,*,*,*,*,5.24335,2.80632,0,6.73,6,0,0,0.334628
*,*,*,*,*,5.24335,4.59791,0,6.73,6,0,0,0.614021
*,*,*,*,*,4.33287,4.6077,0,6.73,6,0,0,0.476401
*,*,*,*,*,4.34266,5.0972,0,6.73,6,0,0,0.517916
*,*,*,*,*,5.22377,5.14616,0,6.73,6,0,0,0.672972
*,*,*,*,*,5.23356,5.9881,0,6.73,6,0,0,0.717344
*,*,*,*,*,2.11051,6.01747,0,6.73,6,0,0,0.12747
*,*,*,*,*,2.11051,5.11679,0,6.73,6,0,0,0.111672
*,*,*,*,*,3.82378,5.08741,0,6.73,6,0,0,0.42465
*,*,*,*,*,3.82378,4.63707,0,6.73,6,0,0,0.393711
*,*,*,*,*,2.11051,4.61749,0,6.73,6,0,0,0.0892394
*,*,*,*,*,2.11051,3.41331,0,6.73,6,0,0,0
*,*,*,*,*,2.60002,3.4231,0,6.73,6,0,0,0.0805421
*,*,*,*,*,2.60002,4.09861,0,6.73,6,0,0,0.141234
*,*,*,*,*,4.74405,4.09861,0,6.73,6,0,0,0.480694
*,*,*,*,*,4.73426,2.79653,0,6.73,6,0,0,0.287118
*,*,*,*,*,4.00979,2.77695,0,6.73,6,0,0,0.203397
*,*,*,*,*,3.98042,3.56016,0,6.73,6,0,0,0.30568
*,*,*,*,*,3.27554,3.54058,0,6.73,6,0,0,0.199054
*,*,*,*,*,3.25596,2.79653,0,6.73,6,0,0,0.107436
