Robot,Runtime,Run Before,Arrival Time,Health at Goal,Given x,Given y,Given z,Expected x,Expected y,Expected z,Disparity,Input Delay,Trust Value
miranda,1443037267.998898,False,0,100000,5.73,6,0,5.73,6,0,1.90735e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.73,4.6,0,5.73,4.6,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,6.23,4.6,0,6.23,4.6,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,6.23,5.5,0,6.23,5.5,0,1.90735e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,6.73,5.5,0,6.73,5.5,0,1.90735e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,6.73,2.9,0,6.73,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,6.23,2.9,0,6.23,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,6.23,4.1,0,6.23,4.1,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.73,4.1,0,5.73,4.1,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.73,2.9,0,5.73,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.23,2.9,0,5.23,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.23,4.6,0,5.23,4.6,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,4.33,4.6,0,4.33,4.6,0,1.2213e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,4.33,5.1,0,4.33,5.1,0,1.2213e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.23,5.1,0,5.23,5.1,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,5.23,6,0,5.23,6,0,1.90735e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.1,6,0,2.1,6,0,9.53674e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.1,5.1,0,2.1,5.1,0,1.3487e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,3.83,5.1,0,3.83,5.1,0,1.2213e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,3.83,4.6,0,3.83,4.6,0,1.2213e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.1,4.6,0,2.1,4.6,0,1.3487e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.1,3.4,0,2.1,3.4,0,1.3487e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.6,3.4,0,2.6,3.4,0,1.3487e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.6,4.1,0,2.6,4.1,0,1.3487e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,4.73,4.1,0,4.73,4.1,0,9.72561e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,4.73,2.9,0,4.73,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,4,2.9,0,4,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,4,3.55,0,4,3.55,0,4.76837e-08,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,3.255,3.55,0,3.255,3.55,0,1.23978e-07,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,3.255,2.9,0,3.255,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,2.1,2.9,0,2.1,2.8,0,0.1,-1.44304e+09,-16700.6
*,*,*,1.44304e+09,100000,*,*,0,*,*,0,3.35965e-322,*,0
*,*,*,1.34386e-321,144,*,*,0,*,*,0,3.31067e-80,*,0
