Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.017018878998883012,85.0,-0.4892739515712061,1.0,0
True,0.015842016008910005,85.0,-0.35161517473432413,1.0,0
True,0.0163527460430026,85.0,-0.5784770424636805,1.0,0
True,0.018476399440646746,82.0,0.1620666175190726,1.0,0
True,0.02918132785745548,82.0,-1.0026756077769157,1.0,0
True,0.039871703347746104,81.0,0.20621629688557253,1.0,1
True,0.014049697226869412,79.0,-1.3010111011406171,1.0,1
True,0.022306363484626123,74.0,0.13479802830663923,1.0,2
True,0.014049697226869412,59.0,-0.10547269134791248,1.0,2
True,0.011281888409724553,59.0,-1.0468937855142544,1.0,2
True,0.01962143836884611,55.0,0.13487131286295995,1.0,2
True,0.008766409328840676,55.0,-1.248629835945951,1.0,2
True,0.022888069983049923,50.0,0.564655663660165,1.0,2
True,0.018912335294294192,47.0,-1.3662491641573968,1.0,2
True,0.011997378640551642,47.0,-0.12049886506326146,1.0,2
False,0.10449860340441423,47.0,0.2873695542633654,0.9375,2
False,0.011945758687756089,45.0,0.20101463340764392,0.8823529411764706,3
True,0.007492563000897543,45.0,-1.121298444485384,0.8888888888888888,3
False,0.015165839422363039,42.0,-0.34185061977630093,0.8421052631578947,3
False,0.004057060340774369,42.0,-1.0657246078671219,0.8,3
False,0.01784951753887864,38.0,0.17644340285957583,0.7619047619047619,3
False,0.015980564801222168,37.0,-0.9564296972001098,0.7272727272727273,3
False,0.012845725132486151,31.0,0.3825803938729577,0.6956521739130435,4
False,0.03325076986846866,31.0,-1.3205648578715266,0.6666666666666666,4
False,0.018576082508457964,26.0,0.07971047912215035,0.64,4
False,0.0026849595340647215,24.0,-0.963484229821895,0.6153846153846154,4
False,0.016542897172065037,21.0,0.1076126648462079,0.5925925925925926,4
False,0.020610300878191,17.0,0.3305284970679203,0.5714285714285714,4
False,0.032023714312546935,17.0,-0.9550800972816912,0.5517241379310345,4
