Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
True,0.05222649359044275,100.0,-1.3712859409843554,1.0,0,5.23,5.333308569268476,5.23,5.333308569268476
True,0.03286964378897993,99.0,-0.4923352608982925,1.0,0,5.23,5.333308569268476,5.23,5.333308569268476
True,0.019791290757010298,99.0,-1.0545677596487915,1.0,0,5.23,5.333308569268476,5.23,5.333308569268476
True,0.006449512454753507,95.0,-0.07298118878874238,1.0,0,5.23,5.333308569268476,5.23,5.333308569268476
True,0.02945480815689966,92.0,0.33615012086703855,1.0,0,5.23,5.333308569268476,5.23,5.333308569268476
True,0.007307699021703998,90.0,-0.8611169349284475,1.0,0,5.23,5.333308569268476,5.23,5.333308569268476
True,0.04419514459742156,100.0,-0.006755189271268058,1.0,1,2.174540673915515,5.1,2.174540673915515,5.1
True,0.052838868292720505,97.0,0.1346520160218958,1.0,1,2.174540673915515,5.1,2.174540673915515,5.1
True,0.06075643016739739,97.0,0.11252798486925375,1.0,1,2.174540673915515,5.1,2.174540673915515,5.1
True,0.05027618622786762,74,-1.0161079138726747,1.0,2,4.926104509513046,4.6,4.926104509513046,4.6
True,0.03937755239150594,61,-0.15365834811657342,1.0,2,4.926104509513046,4.6,4.926104509513046,4.6
False,0.4434847434847262,56,-0.30950905622559266,0.9166666666666666,2,4.926104509513046,4.6,4.926104509513046,4.6
True,0.04986567161646761,66,-1.3561829839619461,0.9230769230769231,3,5.7367441457787764,4.1,5.7367441457787764,4.1
True,0.013487364193597638,64,0.18494079046427903,0.9285714285714286,3,5.7367441457787764,4.1,5.7367441457787764,4.1
True,0.026078875569306725,64,-0.6246275149267078,0.9333333333333333,3,5.7367441457787764,4.1,5.7367441457787764,4.1
True,0.014008320075854005,64,0.3953104365480953,0.9375,3,5.7367441457787764,4.1,5.7367441457787764,4.1
True,0.021661804070407468,71,3.524648145609027,0.9411764705882353,4,4.33,5.0733939179059915,4.33,5.0733939179059915
True,0.0435590858296642,69,-0.5005728222775705,0.9444444444444444,4,4.33,5.0733939179059915,4.33,5.0733939179059915
True,0.01920789688946099,62,-0.07035695520092888,0.9473684210526315,4,4.33,5.0733939179059915,4.33,5.0733939179059915
True,0.003780312016478603,62,0.07722378754888037,0.95,4,4.33,5.0733939179059915,4.33,5.0733939179059915
True,0.028496743812189383,72,-0.9825449680979245,0.9523809523809523,5,6.193882745156027,4.1,6.193882745156027,4.1
True,0.018938386983583407,68,-0.08279058523813987,0.9545454545454546,5,6.193882745156027,4.1,6.193882745156027,4.1
True,0.017808125568495654,67,-0.2337949630056122,0.9565217391304348,5,6.193882745156027,4.1,6.193882745156027,4.1
True,0.028286766028837947,67,0.17723015498141992,0.9583333333333334,5,6.193882745156027,4.1,6.193882745156027,4.1
True,0.015335810065542358,63,-0.3161110919272465,0.96,5,6.193882745156027,4.1,6.193882745156027,4.1
True,0.00999097569892759,63,-1.0336590882214283,0.9615384615384616,5,6.193882745156027,4.1,6.193882745156027,4.1
True,0.3275535248974759,76,0.09812489934588964,0.9629629629629629,7,2.1,4.022159850290021,2.1,4.022159850290021
