Time, Type, Data
26/09/2016 12:10:59.630,RX,02-14-00-00-06
26/09/2016 12:10:59.727,RX,02-BD-00-00-06-02-20-35-00-E0-07-09-1A-AF-86-9D-02-67-00-42-00-00-80-FC-FF-08-00-0C-00-F6-0F-03-00-74-04-20-08-99-FF-A0-FF-FE-FF-0A-00-FE-FF-10-00-00-00-FF-FF-00-00-00-00-01-00-51-A0-6B-03-02-2B-47-00-E0-07-09-1A-AF-86-9D-02-02-67-00-42-00-00-80-FC-FF-08-00-0C-00-F6-0F-51-03-00-FF-FF-FF-74-04-20-08-04-FF-FF-00-FF-FF-69-01-99-FF-A0-FF-FE-FF-0A-00-FE-FF-10-00-D1-00-10-02-FE-00-0C-73-01-9F-01-A6-01-FB-01-00-00-EB-03-02-15-00-00-06-02-19-00-00-06
26/09/2016 12:10:59.827,RX,02-16-00-00-06-02-1E-00-00-06-02-BC-00-00-06
26/09/2016 12:11:00.001,RX,02-22-58-00-E0-07-09-1A-03-87-9D-02-41-FE-D8-E3-8E-39-DE-78-E3-8D-37-DE-78-23-8E-38-E2-88-23-8E-38-DE-68-23-8D-31-B6-A8-22-8A-28-A6-B8-62-8B-2D-B2-C8-22-8B-2D-B6-E8-A2-8B-2F-C6-38-E3-8D-3B-FA-08-A4-90-44-16-59-64-91-46-1A-59-A4-91-47-22-A9-E4-92-4E-42-19-A5-94-53-4E-19-25-6E-03
26/09/2016 12:11:00.243,RX,02-22-58-01-E0-07-09-1A-FF-87-9D-02-50-3E-F9-24-94-4F-3E-E9-24-93-49-1A-49-64-90-40-FE-E8-A3-8F-3C-EA-98-A3-8D-34-CA-18-63-8C-30-C2-08-E3-8B-2E-B6-C8-E2-8A-2B-AE-D8-22-8C-32-CE-48-23-8D-34-CE-28-A3-8C-31-C2-E8-62-8B-2B-AA-88-22-8A-28-A2-88-E2-89-25-86-C8-21-86-15-4E-28-21-1C-03
26/09/2016 12:11:00.474,RX,02-23-00-00-03
26/09/2016 12:11:00.589,RX,02-22-58-02-E0-07-09-1A-FB-88-9D-02-13-52-58-61-85-15-56-58-21-85-13-52-48-21-85-14-56-68-A1-85-15-56-48-E1-84-12-4A-28-A1-84-11-46-18-21-84-0F-3E-F8-20-84-10-42-08-E1-83-0D-2E-A8-A0-82-0A-2A-A8-E0-82-0B-2A-A8-60-82-09-22-98-A0-82-0B-32-B8-E0-82-0B-2A-A8-A0-82-0B-2E-C8-20-85-03
26/09/2016 12:11:00.605,TX,02-23-00-00-03
26/09/2016 12:11:00.690,RX,02-21-20-00-E0-07-09-1A-CF-86-9D-02-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-E8-03-02-20-35-01-E0-07-09-1A-98-8A-9D-02-68-00-42-00-00-80-F9-FF-06-00-0A-00-F6-0F-02-00-74-04-EC-04-9B-FF-9F-FF-FF-FF-06-00-FF-FF-14-00-00-00-FF-FF-00-00-00-00-01-00-51-A0-1C-03-02-2B-47-01-E0-07-09-1A-98-8A-9D-02-02-68-00-42-00-00-80-F9-FF-06-00-0A-00-F6-0F-51-02-00-FF-FF-FF-74-04-EC-04-03-FF-FF-00-FF-FF-71-01-9B-FF-9F-FF-FF-FF-06-00-FF-FF-14-00-D2-00-10-02-FE-00-0C-73-01-A7-01-B1-01-01-02-00-00-4E-03
26/09/2016 12:11:00.790,RX,02-24-2D-00-E0-07-09-1A-07-87-9D-02-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-15-FE-82-03-02-22-58-03-E0-07-09-1A-F7-89-9D-02-0C-32-A8-60-82-07-1E-78-E0-81-08-26-A8-60-82-08-22-78-E0-81-07-22-98-A0-82-0A-2A-A8-60-82-08-22-88-20-82-09-2E-D8-A0-83-0E-32-A8-E0-81-05-16-68-E0-81-07-22-98-E0-82-0E-42-28-E1-84-13-4E-58-E1-85-19-6A-A8-61-86-19-66-C8-61-88-25-A2-B8-22-27-03
