Time, Type, Data
26/09/2016 20:31:26.354,RX,02-21-20-41-E0-07-09-1A-14-AD-67-04-FF-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-07-00-03-02-24-2D-41-E0-07-09-1A-14-AD-67-04-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-BB-03-02-22-58-07-E0-07-09-1A-FF-AF-67-04-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-1E-BB-EB-B8-6B-1F-C0-00-AF-D7-5B-5F-3E-46-EC-1F-40-0A-49-44-D1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-80-03
26/09/2016 20:31:26.454,RX,02-14-00-00-06-02-BD-00-00-06-02-15-00-00-06-02-19-00-00-06-02-16-00-00-06
26/09/2016 20:31:26.555,RX,02-1E-00-00-06-02-BC-00-00-06
26/09/2016 20:31:26.655,RX,02-22-58-08-E0-07-09-1A-FB-B0-67-04-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-F4-03
26/09/2016 20:31:26.755,RX,02-2C-0D-6E-E0-07-09-1A-5E-B2-67-04-40-10-00-64-66-03
26/09/2016 20:31:26.860,RX,02-22-58-09-E0-07-09-1A-F7-B1-67-04-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-1C-03
26/09/2016 20:31:27.096,RX,02-22-58-0A-E0-07-09-1A-F3-B2-67-04-4A-28-A1-84-15-49-78-F0-BE-FB-53-B4-84-24-D3-EE-6F-B0-7F-F2-AA-BB-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-7E-BA-EC-DB-3F-A0-01-CE-03
26/09/2016 20:31:27.224,RX,02-2C-0D-6F-E0-07-09-1A-27-B4-67-04-40-10-64-00-F6-03
26/09/2016 20:31:27.330,RX,02-20-35-00-E0-07-09-1A-7C-B4-67-04-10-00-8A-00-00-80-DA-FF-03-00-07-00-59-0F-09-00-CC-1F-88-22-AC-FF-B3-FF-38-00-44-00-08-00-16-00-00-00-FF-FF-00-00-00-00-00-00-36-20-C8-03-02-2B-47-4B-E0-07-09-1A-7C-B4-67-04-02-10-00-8A-00-00-80-DA-FF-03-00-07-00-59-0F-36-09-00-FF-FF-FF-CC-1F-88-22-01-FF-FF-00-FF-FF-00-00-AC-FF-B3-FF-38-00-44-00-08-00-16-00-FA-00-13-02-FE-00-0C-72-01-9D-01-9E-01-F9-01-00-00-5E-03-02-23-00-00-03-02-21-20-42-E0-07-09-1A-03-B1-67-04-FF-01-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-18-60-80-01-06-08-80-03-02-24-2D-42-E0-07-09-1A-03-B1-67-04-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-31-FA-35-26-35-26-35-26-35-26-1E-FF-1E-FF-10-03
26/09/2016 20:31:27.361,TX,02-23-00-00-03
26/09/2016 20:31:27.431,RX,02-22-58-0B-E0-07-09-1A-F0-B3-67-04-C1-BF-3B-5D-31-16-84-FF-FF-0C-54-4C-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-50-31-05-0C-FC-83-CF-41-34-E4-FD-BB-7C-07-0D-60-0F-3B-EA-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-F7-03
26/09/2016 20:31:27.615,RX,02-22-58-0C-E0-07-09-1A-EC-B4-67-04-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-BA-03
26/09/2016 20:31:27.872,RX,02-22-58-0D-E0-07-09-1A-E8-B5-67-04-B4-C7-5E-3B-F1-DA-9F-2F-3D-E0-ED-AA-F8-15-2E-4D-80-10-82-0C-43-30-D1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-14-4C-D0-20-01-00-29-B0-D2-17-9B-3B-F3-BE-3E-F9-CA-EF-4E-BB-EC-B4-D7-5E-3B-BC-03
26/09/2016 20:31:28.112,RX,02-22-58-0E-E0-07-09-1A-E4-B6-67-04-B5-D7-3E-BB-EC-B6-0F-4F-7D-F7-CB-23-AE-30-97-9A-A9-C3-46-0C-24-7C-C0-40-FE-13-1C-A2-55-95-29-67-7E-79-CF-B3-72-A8-D8-3F-91-30-01-C3-0B-3A-14-B1-04-13-4B-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-88-03
26/09/2016 20:31:28.243,RX,02-20-35-01-E0-07-09-1A-63-B8-67-04-10-00-8A-00-00-80-DA-FF-03-00-08-00-59-0F-09-00-CC-1F-04-42-A9-FF-B9-FF-37-00-41-00-07-00-12-00-00-00-FF-FF-00-00-00-00-00-00-36-20-26-03
