Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.09787285587295574,98.0,102,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.06716565483246383,94.0,89,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.03136667290186396,83.0,75,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.04734378901239638,82.0,66,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.08219149865225638,82.0,50,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.3277067965556264,82.0,47,0.0,0,4.33,4.624232694663403,4.33,4.624232694663403
False,0.043774179673342885,92.0,106,0.0,1,6.675423739690544,2.8,6.675423739690544,2.8
False,0.05122463354823859,90.0,77,0.0,1,6.675423739690544,2.8,6.675423739690544,2.8
False,0.08374954199210836,90.0,69,0.0,1,6.675423739690544,2.8,6.675423739690544,2.8
False,0.040778153409528915,80.0,60,0.0,1,6.675423739690544,2.8,6.675423739690544,2.8
False,0.20516667213243925,77.0,50,0.0,1,6.675423739690544,2.8,6.675423739690544,2.8
False,0.3394998151890078,70.0,81,0.0,2,2.1,5.143847595650065,2.1,5.143847595650065
False,0.06911848680271496,65.0,66,0.0,2,2.1,5.143847595650065,2.1,5.143847595650065
False,0.007575317863461154,61.0,53,0.0,2,2.1,5.143847595650065,2.1,5.143847595650065
False,0.2635543387580042,61.0,43,0.0,2,2.1,5.143847595650065,2.1,5.143847595650065
False,0.37530705769947537,58.0,30,0.0,2,2.1,5.143847595650065,2.1,5.143847595650065
False,0.14813182390656798,52.0,21,0.0,2,2.1,5.143847595650065,2.1,5.143847595650065
False,0.06878366670599198,57.0,63,0.0,3,5.73,3.896932293420417,5.73,3.896932293420417
False,0.4910731584318174,57.0,50,0.0,3,5.73,3.896932293420417,5.73,3.896932293420417
False,0.0884227086962156,57.0,37,0.0,3,5.73,3.896932293420417,5.73,3.896932293420417
False,0.0633677219104056,67.0,53,0.0,4,5.754377345852298,4.6,5.754377345852298,4.6
