Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,99.0,120,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.03897110327293681,78.0,109,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.5245403771793637,76.0,101,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.21529007725370863,76.0,91,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.07446037033922413,71.0,72,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.10495748368080517,68.0,56,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.21010092792374227,68.0,49,0.0,0,5.23,5.821426802926667,5.23,5.821426802926667
False,0.7614710734739302,49.0,86,0.0,1,2.279910882650374,6.0,2.279910882650374,6.0
False,0.18153693634173354,49.0,77,0.0,1,2.279910882650374,6.0,2.279910882650374,6.0
False,0.28792981170541576,59.0,73,0.0,2,2.1,5.41395819403521,2.1,5.41395819403521
False,0.09614238133684219,63.0,68,0.0,3,4.33,4.681001477738896,4.33,4.681001477738896
False,0.2758537929110009,69.0,58,0.0,4,5.23,5.7750168458921545,5.23,5.7750168458921545
