Time,One Robot,Two Robots
0,0,1
12,1,1
24,1,0
36,1,0
48,2,0
60,2,0
72,2,0
84,2,0
96,2,0
108,2,0
120,2,0
132,2,0
144,3,0
156,3,0
168,3,0
180,3,0
192,2,0
204,3,0
216,4,1
