Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.024471777195336608,100,-1.274679439274162,1.0,1
True,0.02006759620568533,95,0.6235457563864149,1.0,1
True,0.01697659162624615,95,-1.0631089374988585,1.0,1
True,0.035932703081100734,90,-0.1406193253526422,1.0,1
True,0.021551692182541937,100,-0.030881081207137395,1.0,2
True,0.015410861603942064,100,0.266445973620157,1.0,2
True,0.010429085636262292,100,-0.1908913899106648,1.0,2
True,0.015210073809682196,97,-0.6419579350434255,1.0,2
True,0.020193119927034063,96,-1.045245759618153,1.0,2
True,0.03031096028528575,94,-0.24782718041911922,1.0,2
True,0.02530137589231657,94,0.22563791384531173,1.0,2
True,0.01386748198206833,100,-0.2196343800429228,1.0,3
True,0.025580957906351672,100,-1.0683892705197173,1.0,3
True,0.008249622745369011,98,0.19659774764735172,1.0,3
True,0.014938025335043037,95,-0.18596587822186406,1.0,3
True,0.013712772401583874,95,-0.7103969542969941,1.0,3
True,0.010429085636262292,92,-0.22728413717969165,1.0,3
True,0.014992028172128101,92,-0.0649717250512829,1.0,3
True,0.013414044208784547,87,-0.26872836984678194,1.0,3
True,0.0016401628021276823,87,-0.20952533736412304,1.0,3
