clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0.0,0.0,1.21593475342e-05,-0.6044302,2016_9_30-15_28_59
3.0,1.65189884396,0.0,-0.5685259,2016_9_30-15_29_18
1.0,1.53262172315,7.86781311035e-06,-0.5780498,2016_9_30-15_29_39
2.0,1.20364005712,5.79357147217e-05,-0.6065455,2016_9_30-15_29_46
0.0,0.0,2.86102294922e-06,-0.6044302,2016_9_30-15_30_19
2.0,3.0763348269,0.0,-0.4677866,2016_9_30-15_30_31
