clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0.0,0.0,5.31673431396e-05,-0.6044302,2016_9_30-11_43_1
0.0,0.002314677433,0.0,-0.6044302,2016_9_30-11_43_1
3.0,4.14791286179,3.13563013077,-0.3498871,2016_9_30-11_43_10
3.0,1.38507558633,2.78722906113,-0.4899299,2016_9_30-11_43_19
1.0,0.623815961756,1.45626783371,-0.4876894,2016_9_30-11_43_23
2.0,0.508576420982,2.17102503777,-0.4963256,2016_9_30-11_43_29
2.0,1.40122263111,3.49642014503,-0.5122084,2016_9_30-11_43_36
