Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.04107381933935345,100.0,0.29910911078983804,1.0,0
True,0.018895972038997188,99,-0.9377876186270893,1.0,1
True,0.029500571971023303,95,0.4003701283775625,1.0,1
True,0.01603381431098928,100,0.08213074987435487,1.0,2
True,0.0069835858263753775,100,-0.32127102382728223,1.0,2
True,0.007729695779040294,97,-0.03907310330476754,1.0,2
True,0.006722181901758655,97,-1.0762637209287316,1.0,2
True,0.007272760549720106,93,0.26701147422975424,1.0,2
True,0.00893221153755114,93,-0.9845034988070865,1.0,2
True,0.5742414415114669,98,-0.549549922770229,1.0,3
True,0.01786630757548449,95,-0.609437278631686,1.0,4
True,0.011591893630463566,92,0.4197004496827321,1.0,4
True,0.012324375519506138,92,-1.0775352647180785,1.0,4
True,0.008088997614405033,92,-0.47689956624428786,1.0,4
True,0.02687054955880779,91,3.2119824920241973,1.0,4
True,0.03078079389776667,82,2.200534886546629,1.0,4
True,0.028265406220619016,81,-0.18811986535192782,1.0,5
True,0.009568137735026095,77,-0.310727950020949,1.0,5
True,0.019940148896471003,71,0.537348560714328,1.0,5
True,0.020281676631653176,63,-0.5592114248478661,1.0,5
True,0.029136243998804996,61,-0.325113932138557,1.0,5
True,0.013735975401788735,61,-0.6430660003134012,1.0,5
True,0.024510447971568303,57,0.35403083698170557,1.0,5
