Time,One Robot,Two Robots
0,1,0
10,1,1
20,1,1
30,1,1
40,1,2
50,1,2
60,1,1
70,1,2
80,1,2
90,1,2
100,1,2
110,1,3
120,1,2
130,1,2
140,1,3
150,*,2
160,*,1
170,*,2
