Time,One Robot,Two Robots
0,1,0
10,1,1
20,2,1
30,3,2
40,3,2
50,4,2
60,5,1
70,5,1
80,5,1
90,5,2
100,5,2
110,4,1
120,3,3
130,3,2
140,2,2
150,2,1
160,2,1
170,2,2
180,2,1
190,2,1
200,5,2
210,5,2
220,5,*
230,5,*
240,5,*
250,5,*
