Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.009948576872263625,100.0,-0.05149259072149093,1.0,0
True,0.01854745485387736,100.0,-1.1179920735701445,1.0,0
True,0.023089405764275657,95.0,-0.023026621935759106,1.0,1
True,0.008720956819002776,91.0,-0.142740230789427,1.0,1
True,0.025580247694124387,91.0,-1.3912579353607792,1.0,1
False,0.32100314806919705,91.0,9.835073059639221,0.8333333333333334,1
True,0.026938686350133703,91.0,-0.3187998417681741,0.8571428571428571,1
True,0.2868616490938992,90.0,0.07700491860502012,0.875,1
True,0.23607558380983476,86.0,-0.32368747020063093,0.8888888888888888,1
False,0.02598698104537114,81.0,16.489442431799368,0.8,2
True,0.008134604301895621,79.0,-0.35158682989170753,0.8181818181818182,2
True,0.01038132490213982,79.0,-0.08778494394228842,0.8333333333333334,2
True,0.013042040469463848,76.0,-0.18050190653830356,0.8461538461538461,2
True,0.012158157695074686,73.0,-0.3146993412517918,0.8571428571428571,2
True,0.012116085813556346,73.0,-0.6737917576147243,0.8666666666666667,3
True,0.018947154803148358,73.0,0.4087596243930638,0.875,3
True,0.012605170076086367,73.0,0.03799645125701723,0.8823529411764706,3
True,0.08230598276640745,73.0,-0.7693218920469151,0.8888888888888888,3
True,0.023194174550902683,67.0,0.2556866318883637,0.8947368421052632,4
True,0.022528546512620765,67.0,-0.592131054201865,0.9,4
True,0.03319992526206016,60.0,1.6042855963953118,0.9047619047619048,4
True,0.015327349382127634,58.0,0.32285013369988436,0.9090909090909091,4
True,0.05043235746555615,58.0,-0.9064826608291388,0.9130434782608695,5
False,0.015580921749581287,40.0,0.03785531593130287,0.875,5
False,0.029218223997131046,40.0,-1.3630692050936681,0.84,5
False,0.015814656215050956,35.0,-0.08923751291504534,0.8076923076923077,5
False,0.02710928363718254,35.0,-1.3273320731433642,0.7777777777777778,5
False,0.03435302594025108,35.0,-0.052932021715866195,0.75,5
