clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.579808955178,1.4066696167e-05,-0.6003211,2016_9_26-15_14_4
7.0,4.78600462692,18.1083369255,-0.4209696,2016_9_26-15_14_29
5.0,3.99098700486,10.8622350693,-0.4660034,2016_9_26-15_14_51
10.0,4.85123718997,37.0881037712,-0.5148224,2016_9_26-15_15_37
4.0,2.75368059274,9.17232990265,-0.5672245,2016_9_26-15_15_57
5.0,6.88768680655,28.6757798195,-0.3756627,2016_9_26-15_16_43
2.0,3.24118679869,0.30433511734,-0.4558625,2016_9_26-15_17_5
