Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,5.775240942238883,6.0,5.775240942238883,6.0
False,0.6525543058941109,91.0,107,0.0,0,5.775240942238883,6.0,5.775240942238883,6.0
False,0.08213729485664041,81.0,97,0.0,0,5.775240942238883,6.0,5.775240942238883,6.0
False,0.007055093078099968,71.0,93,0.0,1,2.1168334754862363,3.4,2.1168334754862363,3.4
False,0.023076430676546345,71.0,79,0.0,1,2.1168334754862363,3.4,2.1168334754862363,3.4
False,0.07685380546135982,71.0,70,0.0,1,2.1168334754862363,3.4,2.1168334754862363,3.4
False,0.06107163265549639,75.0,83,0.0,2,3.9861188775256164,3.55,3.9861188775256164,3.55
False,0.5339247184845674,80.0,65,0.0,3,6.173872952873452,6.0,6.173872952873452,6.0
False,0.030785411604547598,74.0,55,0.0,3,6.173872952873452,6.0,6.173872952873452,6.0
False,0.4787640819437131,74.0,52,0.0,3,6.173872952873452,6.0,6.173872952873452,6.0
False,0.06395534746830296,84.0,52,0.0,4,4.1329420186396515,2.8,4.1329420186396515,2.8
False,0.007760678654587313,84.0,43,0.0,4,4.1329420186396515,2.8,4.1329420186396515,2.8
False,0.11476518623592377,77.0,35,0.0,4,4.1329420186396515,2.8,4.1329420186396515,2.8
