Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.005951972327143867,100.0,-0.6975153562646108,1.0,0
True,0.06669867752521358,100.0,-0.6257375698938403,1.0,0
True,0.02851721984311762,100.0,-0.3606677239956402,1.0,0
True,0.030467770755478494,64.0,-0.2828607799726299,1.0,0
True,0.032811975699042505,63.0,-0.28038767035981427,1.0,0
False,0.4986201225713414,63.0,0.08020012688583167,0.8333333333333334,0
False,0.5767127160142278,63.0,-0.6946056504586668,0.7142857142857143,1
False,0.18439016887992724,29.0,-0.5644387324045139,0.625,2
False,0.1328744680734801,25.0,-0.6553451519846005,0.5555555555555556,3
False,0.02904527449001777,23.0,-0.47425365154539545,0.5,4
False,0.5978853116873013,22.0,-0.30100510622593335,0.45454545454545453,4
False,0.5453126117365261,21.0,0.3994617944282899,0.4166666666666667,4
False,0.030611298065929833,-56.0,0.28610617908806546,0.38461538461538464,4
