Time,RtoR
,6495
,298
,532
,1473
,683
,285
,428
,339
,399
,1638
,915
,361
,869
,1390
,1285
,477
,360
,488
,362
,552
,773
,388
,592
,364
,529
,834
,823
,449
,491
,366
,486
,365
,433
,879
,365
,396
,444
,489
,750
,114
,276
,399
,446
,394
,443
,404
,446
,1247
,302
,484
,359
,421
,358
,472
,633
,439
,735
,445
,327
,310
,3480
,903
,83
,909
,626
,858
,621
,607
,916
,212
,1281
,1370
,1111
,265
,698
,813
,661
,710
,202
,171
,356
,79
,649
,1563
,906
