Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.023177206225953564,96.0,0.2897190800294047,1.0,0
True,0.059001452376520776,96.0,-0.2078968847083209,1.0,0
True,0.010453708252210259,95.0,-0.8108908098395158,1.0,0
True,0.13949103258897366,92.0,-0.1749802072744151,1.0,0
False,0.4626839290819281,69.0,0.4320780492267806,0.8,1
True,0.021535929961566048,69.0,-1.0412982081842102,0.8333333333333334,1
True,0.06544414995333897,64.0,0.12913794584271265,0.8571428571428571,1
True,0.014050141601602702,62.0,2.0947132344349715,0.875,2
True,0.04737787503775977,60.0,-0.43596806877498206,0.8888888888888888,3
False,0.21641546635728542,55.0,-0.04167048504954396,0.8,4
