Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,99.0,120,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.04290680916179774,75.0,105,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.23224125249430455,74.0,90,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.16395155359071217,66.0,85,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.32670203368884904,55.0,79,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.19936343103296023,54.0,74,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.36626964675376733,44.0,70,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.011437772375083186,44.0,62,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.3329800267426126,44.0,57,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.24209106683119527,44.0,52,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.10834494515609101,44.0,47,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.5422883195539825,26.0,26,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.17942775125068375,26.0,22,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.21153616548239834,22.0,14,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.49551557393805307,22.0,5,0.0,0,6.73,5.0909803711889765,6.73,5.0909803711889765
False,0.3092981691988076,32.0,107,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.49605948074401207,32.0,86,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.0744520767107769,28.0,76,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.09171759327714765,28.0,70,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.04342962730930879,21.0,64,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.005216268977996477,15.0,58,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.4774665752054308,15.0,55,0.0,1,5.73,3.6625101020565114,5.73,3.6625101020565114
False,0.05666159424061825,25.0,88,0.0,2,4.383261533427764,4.6,4.383261533427764,4.6
False,0.16099003518327684,23.0,81,0.0,2,4.383261533427764,4.6,4.383261533427764,4.6
False,0.06300902623373397,20.0,71,0.0,2,4.383261533427764,4.6,4.383261533427764,4.6
False,0.061872470778748204,19.0,66,0.0,2,4.383261533427764,4.6,4.383261533427764,4.6
False,0.07801746331470447,29.0,77,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.029923365945109675,25.0,72,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.1111994199379547,25.0,65,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.026904916293218336,18.0,56,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.13479060763925713,18.0,52,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.09368456732552052,18.0,45,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.10542564481622362,13.0,35,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.20069053525650543,7.0,29,0.0,3,2.1296030106194133,4.6,2.1296030106194133,4.6
False,0.036889922516795556,13.0,72,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
False,0.055942892586120896,11.0,56,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
False,0.04900393777394153,11.0,51,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
False,0.040989476984120574,3.0,40,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
False,0.3867096225843491,3.0,34,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
False,0.028781367526602347,3.0,27,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
False,0.03569031761109893,3.0,22,0.0,4,5.73,4.0837950905100096,5.73,4.0837950905100096
