Time, Type, Data
26/09/2016 14:51:24.614,RX,02-24-2D-06-E0-07-09-1A-B6-61-30-03-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-3E-03-02-14-00-00-06-02-20-35-00-E0-07-09-1A-9E-65-30-03-00-00-AD-00-00-80-0D-00-01-00-03-00-C8-0F-0E-00-20-03-F0-00-9E-FF-A1-FF-15-00-1B-00-F4-FF-FF-FF-00-00-FF-FF-00-00-00-00-00-00-49-20-B6-03-02-2B-47-15-E0-07-09-1A-9E-65-30-03-02-00-00-AD-00-00-80-0D-00-01-00-03-00-C8-0F-49-0E-00-FF-FF-FF-20-03-F0-00-01-FF-FF-00-FF-FF-00-00-9E-FF-A1-FF-15-00-1B-00-F4-FF-FF-FF-F7-00-13-02-32-00-0C-76-01-9F-01-A4-01-FB-01-00-00-4E-03-02-BD-00-00-06-02-22-58-1B-E0-07-09-1A-BA-64-30-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-05-03-02-15-00-00-06-02-19-00-00-06
26/09/2016 14:51:24.714,RX,02-16-00-00-06-02-1E-00-00-06-02-BC-00-00-06
26/09/2016 14:51:24.839,RX,02-22-58-1C-E0-07-09-1A-B6-65-30-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-3A-03
26/09/2016 14:51:25.101,RX,02-22-58-1D-E0-07-09-1A-B2-66-30-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-78-03
26/09/2016 14:51:25.339,RX,02-22-58-1E-E0-07-09-1A-AE-67-30-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-F3-03
26/09/2016 14:51:25.455,RX,02-23-00-00-03
26/09/2016 14:51:25.541,TX,02-23-00-00-03
26/09/2016 14:51:25.572,RX,02-21-20-07-E0-07-09-1A-A6-65-30-03-FB-ED-B7-1F-7F-FC-F5-D7-9F-7F-FE-F9-F7-DF-7F-FF-F9-E7-5F-7F-FC-E9-07-97-03-02-24-2D-07-E0-07-09-1A-A6-65-30-03-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-F5-03-02-20-35-01-E0-07-09-1A-87-69-30-03-00-00-AD-00-00-80-0C-00-02-00-06-00-C8-0F-0E-00-20-03-8C-00-9E-FF-A3-FF-14-00-1C-00-F4-FF-00-00-00-00-FF-FF-00-00-00-00-00-00-49-20-3A-03-02-2B-47-16-E0-07-09-1A-87-69-30-03-02-00-00-AD-00-00-80-0C-00-02-00-06-00-C8-0F-49-0E-00-FF-FF-FF-20-03-8C-00-01-FF-FF-00-FF-FF-00-00-9E-FF-A3-FF-14-00-1C-00-F4-FF-00-00-F7-00-13-02-FE-00-0C-76-01-9F-01-A6-01-FB-01-00-00-CD-03
26/09/2016 14:51:25.672,RX,02-22-58-1F-E0-07-09-1A-AB-68-30-03-4A-28-A1-44-12-49-28-B1-44-13-4F-48-51-05-16-5A-70-F1-45-18-63-94-81-86-1A-6D-BC-21-07-1D-76-E0-A1-07-1F-7E-04-32-48-21-87-28-C2-88-23-90-48-42-89-25-98-68-C2-89-27-A0-88-42-8A-29-A7-A8-C2-8A-2B-B0-C4-32-4B-2D-B7-E4-B2-4B-2F-BE-00-13-0C-9F-03
26/09/2016 14:51:25.841,RX,02-22-58-20-E0-07-09-1A-A7-69-30-03-C3-14-73-4C-32-CB-30-E3-0C-34-D1-4C-53-8D-35-D8-64-B3-0D-37-DE-7C-13-8E-38-E4-98-73-0E-3A-EA-AC-D3-8E-3B-F0-C8-33-0F-3D-F5-DC-83-4F-3E-FB-F0-E3-0F-40-01-09-34-50-41-06-1D-94-90-42-0C-35-E4-10-44-11-49-34-11-45-15-5D-84-51-46-1B-71-D4-11-91-03
26/09/2016 14:51:26.073,RX,02-22-58-21-E0-07-09-1A-A3-6A-30-03-1E-7D-04-52-48-22-8D-54-92-49-27-A1-94-92-4A-2B-B5-E4-D2-4B-30-C5-24-D3-4C-34-D5-64-D3-4D-38-E5-A4-D3-4E-3C-F5-D4-93-4F-3F-01-15-94-50-43-11-55-94-51-47-21-95-94-52-4B-31-D5-54-53-4E-3D-F5-14-54-51-49-35-15-55-55-59-75-D5-55-58-65-A5-15-A6-03
26/09/2016 14:51:26.351,RX,02-22-58-22-E0-07-09-1A-9F-6B-30-03-5A-6D-C5-55-57-5E-79-F5-15-58-60-85-25-D6-58-64-91-55-96-59-66-9D-85-16-5A-69-A9-A5-D6-5A-6C-B5-D5-96-5B-6E-BD-F5-16-5C-71-C9-35-17-5D-74-D5-55-97-5D-77-DD-85-17-5E-79-E9-A5-D7-5E-7B-F1-C5-57-5F-7E-F9-F5-D7-5F-80-01-16-98-60-82-0D-36-18-52-03
26/09/2016 14:51:26.530,RX,02-21-20-08-E0-07-09-1A-97-69-30-03-FA-E5-97-5F-7E-F9-E5-97-9F-7E-FA-E9-A7-9F-7E-FB-ED-B7-1F-7F-FC-F1-07-7B-03
26/09/2016 14:51:26.545,TX,02-23-00-00-03
26/09/2016 14:51:26.630,RX,02-24-2D-08-E0-07-09-1A-97-69-30-03-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-9B-03-02-20-35-02-E0-07-09-1A-6E-6D-30-03-00-00-AD-00-00-80-0C-00-01-00-03-00-C8-0F-0F-00-20-03-50-00-9E-FF-A0-FF-15-00-1A-00-F6-FF-FE-FF-00-00-FF-FF-00-00-00-00-00-00-49-20-A8-03-02-2B-47-17-E0-07-09-1A-6E-6D-30-03-02-00-00-AD-00-00-80-0C-00-01-00-03-00-C8-0F-49-0F-00-FF-FF-FF-20-03-50-00-01-FF-FF-00-FF-FF-00-00-9E-FF-A0-FF-15-00-1A-00-F6-FF-FE-FF-F7-00-13-02-FE-FF-0C-76-01-A3-01-A4-01-FB-01-00-00-96-03-02-22-58-23-E0-07-09-1A-9A-6C-30-03-84-15-56-98-61-86-19-76-D8-61-88-25-96-98-62-8A-2D-B6-D8-62-8C-31-D6-58-63-8E-3D-F6-18-64-90-41-16-59-64-92-49-36-D9-64-94-51-46-59-65-95-59-66-D9-65-97-61-86-19-66-99-65-96-99-66-9A-6D-B6-D9-66-9C-71-D6-59-67-9E-79-F6-D9-67-9F-7D-06-1A-94-03
26/09/2016 14:51:26.854,RX,02-22-58-24-E0-07-09-1A-96-6D-30-03-A0-85-16-9A-68-A2-8D-36-DA-68-A3-91-46-1A-69-A4-95-56-5A-69-A6-99-76-DA-69-A7-9D-86-1A-6A-A8-A1-96-5A-6A-AA-A9-B6-DA-6A-AB-AD-B6-1A-6B-AC-B5-D6-5A-6B-AD-B9-E6-9A-6B-AE-B9-F6-DA-6B-B0-C1-06-1B-6C-B1-C5-16-9B-6C-B2-C9-36-DB-6C-B3-CD-36-1B-D1-03
26/09/2016 14:51:27.102,RX,02-22-58-25-E0-07-09-1A-92-6E-30-03-B4-D1-46-5B-6D-B5-D5-56-5B-6D-B6-D9-66-9B-6D-B7-DD-86-1B-6E-B8-E1-96-5B-6E-B9-E5-96-5B-6E-BA-E9-A6-9B-6E-BB-ED-B6-DB-6E-BB-F1-C6-1B-6F-BC-F1-C6-1B-6F-BD-F5-D6-9B-6F-BE-F9-E6-9B-6F-BF-FD-F6-DB-6F-BF-FD-06-1C-70-C0-01-17-5C-70-C1-05-17-1C-3F-03
26/09/2016 14:51:27.355,RX,02-22-58-26-E0-07-09-1A-8E-6F-30-03-C2-09-27-9C-70-C2-09-27-9C-70-C3-0D-37-1C-71-C4-11-47-1C-71-C4-11-57-5C-71-C5-15-67-9C-71-C6-19-67-9C-71-C6-1D-77-DC-71-C7-1D-77-DC-71-C8-21-87-1C-72-C9-25-97-5C-72-C9-25-97-5C-72-CA-29-A7-9C-72-CA-29-A7-DC-72-CB-2D-B7-DC-72-CB-31-C7-1C-FE-03
26/09/2016 14:51:27.534,RX,02-21-20-09-E0-07-09-1A-86-6D-30-03-FC-F1-C7-1F-7F-FC-F1-C7-1F-7F-FC-F1-C7-1F-7F-FC-F1-C7-1F-7F-FC-F1-07-B0-03
26/09/2016 14:51:27.549,TX,02-23-00-00-03
26/09/2016 14:51:27.649,RX,02-24-2D-09-E0-07-09-1A-86-6D-30-03-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-35-00-8A-03-02-20-35-03-E0-07-09-1A-57-71-30-03-00-00-AB-00-00-80-0D-00-01-00-03-00-C8-0F-0F-00-20-03-3C-00-9C-FF-A1-FF-14-00-1A-00-F4-FF-FD-FF-00-00-FF-FF-00-00-00-00-00-00-49-20-D7-03-02-2B-47-18-E0-07-09-1A-57-71-30-03-02-00-00-AB-00-00-80-0D-00-01-00-03-00-C8-0F-49-0F-00-FF-FF-FF-20-03-3C-00-01-FF-FF-00-FF-FF-00-00-9C-FF-A1-FF-14-00-1A-00-F4-FF-FD-FF-F7-00-13-02-FE-00-0C-76-01-9F-01-A6-01-FB-01-00-00-CB-03-02-22-58-27-E0-07-09-1A-8B-70-30-03-CC-31-C7-1C-73-CC-31-C7-1C-73-CD-35-D7-5C-73-CE-35-D7-9C-73-CE-39-E7-9C-73-CE-39-E7-9C-73-CE-3D-F7-DC-73-CF-41-07-1D-74-D0-3D-F7-1C-74-D0-45-17-5D-74-D1-45-17-5D-74-D1-45-17-5D-74-D2-49-27-9D-74-D2-49-27-9D-74-D3-4D-37-DD-74-D3-4D-37-1D-6E-03
26/09/2016 14:51:27.860,RX,02-22-58-28-E0-07-09-1A-87-71-30-03-D3-4D-47-1D-75-D4-51-47-1D-75-D4-51-47-1D-75-D4-51-47-1D-75-D4-55-57-9D-75-D6-59-57-5D-75-D5-55-57-9D-75-D6-59-67-9D-75-D6-59-67-9D-75-D6-59-67-9D-75-D6-59-77-DD-75-D7-5D-77-DD-75-D7-5D-77-DD-75-D7-61-87-1D-76-D8-61-87-1D-76-D8-61-87-1D-67-03
26/09/2016 14:51:28.108,RX,02-22-58-29-E0-07-09-1A-83-72-30-03-D9-65-97-5D-76-D9-65-97-5D-76-D9-65-A7-9D-76-DA-69-A7-9D-76-D9-65-A7-9D-76-DA-69-A7-DD-76-DB-6D-A7-9D-76-DA-69-B7-DD-76-DB-6D-B7-DD-76-DB-6D-B7-DD-76-DB-6D-B7-DD-76-DB-6D-B7-DD-76-DC-71-C7-1D-77-DC-71-C7-1D-77-DC-71-C7-1D-77-DC-75-D7-1D-7E-03
26/09/2016 14:51:28.361,RX,02-22-58-2A-E0-07-09-1A-7F-73-30-03-DD-75-D7-5D-77-DD-75-D7-5D-77-DE-79-E7-9D-77-DE-79-E7-9D-77-DE-79-E7-9D-77-DE-79-E7-9D-77-DE-79-E7-9D-77-DE-7D-F7-DD-77-DF-7D-F7-DD-77-DF-7D-F7-DD-77-DF-7D-F7-DD-77-DF-7D-F7-DD-77-DF-81-07-1E-78-E0-81-07-1E-78-E0-81-07-1E-78-E1-85-17-1E-44-03
26/09/2016 14:51:28.462,RX,02-23-00-00-03
26/09/2016 14:51:28.556,TX,02-23-00-00-03
