Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.478368036264135,100.0,108,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.11621245641310565,89.0,92,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.42182364543294887,89.0,81,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.03795764219822409,89.0,71,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.007711573607117903,83.0,51,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.030583884770389293,83.0,44,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.49679094146192293,83.0,37,0.0,0,3.3595072091799834,4.6,3.3595072091799834,4.6
False,0.05015507452977675,93.0,93,0.0,1,4.107814390607784,4.1,4.107814390607784,4.1
False,0.011905159513898726,93.0,81,0.0,1,4.107814390607784,4.1,4.107814390607784,4.1
False,0.03554138625997977,93.0,56,0.0,1,4.107814390607784,4.1,4.107814390607784,4.1
False,0.12796866390905987,89.0,41,0.0,1,4.107814390607784,4.1,4.107814390607784,4.1
False,0.5428332035997192,88.0,28,0.0,1,4.107814390607784,4.1,4.107814390607784,4.1
False,0.04169083028916016,93.0,80,0.0,2,2.7128054975854203,5.1,2.7128054975854203,5.1
False,0.6290465344098547,93.0,64,0.0,2,2.7128054975854203,5.1,2.7128054975854203,5.1
False,0.14210581183374885,100,61,0.0,3,2.6,3.9350207052230433,2.6,3.9350207052230433
False,0.16594204809332327,96,48,0.0,4,5.23,5.637939191011569,5.23,5.637939191011569
False,0.5012796879342557,85,41,0.0,4,5.23,5.637939191011569,5.23,5.637939191011569
False,0.019767288833063584,85,33,0.0,4,5.23,5.637939191011569,5.23,5.637939191011569
False,0.3982728207369516,81,19,0.0,4,5.23,5.637939191011569,5.23,5.637939191011569
